strategy_id,price_damage_threshold_pct,control_trade_id,ticker,name,date,event_type,close_return_pct,running_mfe_pct,fast_date,fast_state,arm_cycle,detail
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000210_KR7000210005_KOSPI_01,000210,DL,2025-09-26,FAILURE_CONFIRMED,-28.443114,12.57485,2025-09-26,SETUP,2.0,NEW_WEAK_FAST_AND_PRICE_DAMAGED
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000210_KR7000210005_KOSPI_01,000210,DL,2025-09-29,EXIT_EXECUTED,-27.844311,,,SETUP,2.0,PREWINNER_FAILURE_CONFIRMED
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000210_KR7000210005_KOSPI_01,000210,DL,2026-01-08,ARMED,-30.938124,12.57485,2026-01-02,SETUP,1.0,PRICE_DAMAGED_AND_WEAK_FAST
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000210_KR7000210005_KOSPI_01,000210,DL,2026-01-09,FAILURE_CONFIRMED,-30.439122,12.57485,2026-01-09,SETUP,1.0,NEW_WEAK_FAST_AND_PRICE_DAMAGED
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000210_KR7000210005_KOSPI_01,000210,DL,2026-01-12,EXIT_EXECUTED,-30.538922,,,SETUP,1.0,PREWINNER_FAILURE_CONFIRMED
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000210_KR7000210005_KOSPI_02,000210,DL,2026-04-06,EXIT_EXECUTED,23.2,,,SETUP,,SOFT_EXIT
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000210_KR7000210005_KOSPI_02,000210,DL,2026-04-06,EXIT_EXECUTED,23.2,,,SETUP,,SOFT_EXIT
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000210_KR7000210005_KOSPI_03,000210,DL,2026-05-11,EXIT_EXECUTED,9.059829,,,SETUP,,SOFT_EXIT
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000210_KR7000210005_KOSPI_03,000210,DL,2026-05-11,EXIT_EXECUTED,9.059829,,,SETUP,,SOFT_EXIT
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000240_KR7000240002_KOSPI_01,000240,한국앤컴퍼니,2023-12-18,EXIT_EXECUTED,31.126671,,,SETUP,,HARD_EXIT
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000240_KR7000240002_KOSPI_01,000240,한국앤컴퍼니,2023-12-18,EXIT_EXECUTED,31.126671,,,SETUP,,HARD_EXIT
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000270_KR7000270009_KOSPI_01,000270,기아,2024-01-15,EXIT_EXECUTED,8.834356,,,SETUP,,SOFT_EXIT
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000270_KR7000270009_KOSPI_01,000270,기아,2024-01-15,EXIT_EXECUTED,8.834356,,,SETUP,,SOFT_EXIT
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000270_KR7000270009_KOSPI_02,000270,기아,2026-03-05,EXIT_EXECUTED,48.700173,,,EXTENDED,,HARD_EXIT
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000270_KR7000270009_KOSPI_02,000270,기아,2026-03-05,EXIT_EXECUTED,48.700173,,,EXTENDED,,HARD_EXIT
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000370_KR7000370007_KOSPI_01,000370,한화손해보험,2025-07-24,EXIT_EXECUTED,18.511797,,,EXTENDED,,HARD_EXIT
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000370_KR7000370007_KOSPI_01,000370,한화손해보험,2025-07-24,EXIT_EXECUTED,18.511797,,,EXTENDED,,HARD_EXIT
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000430_KR7000430009_KOSPI_01,000430,대원강업,2026-06-26,ARMED,-26.88588,2.514507,2026-06-26,SETUP,1.0,PRICE_DAMAGED_AND_WEAK_FAST
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000430_KR7000430009_KOSPI_01,000430,대원강업,2026-07-03,DISARM_PRICE,-20.502901,2.514507,2026-07-03,SETUP,1.0,ARM_CLEARED
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000430_KR7000430009_KOSPI_01,000430,대원강업,2026-07-09,REARM,-26.305609,2.514507,2026-07-03,SETUP,2.0,PRICE_DAMAGED_AND_WEAK_FAST
