date,ticker,foreign_net_buy_value,foreign_buy_value,foreign_sell_value
2026-05-13,005740,-58478740.0,2795260.0,61274000.0
2026-05-13,005750,-24548500.0,9381630.0,33930130.0
2026-05-13,005800,-8657925.0,53384695.0,62042620.0
2026-05-13,005810,126096725.0,1023621950.0,897525225.0
2026-05-13,005820,4055040.0,7721070.0,3666030.0
2026-05-13,005830,5367696100.0,18780404420.0,13412708320.0
2026-05-13,005850,2195654550.0,9279291900.0,7083637350.0
2026-05-13,005860,496779862.0,2000358203.0,1503578341.0
2026-05-13,005870,-462108085.0,262613690.0,724721775.0
2026-05-13,005880,1040716976.0,6359047814.0,5318330838.0
2026-05-13,005930,-1552620477500.0,2054704426900.0,3607324904400.0
2026-05-13,005935,-13752771800.0,505354594750.0,519107366550.0
2026-05-13,005940,1134400000.0,12946849400.0,11812449400.0
2026-05-13,005945,-367868300.0,349058150.0,716926450.0
2026-05-13,005950,-1865444735.0,2081173465.0,3946618200.0
2026-05-13,005960,-22998965.0,160664590.0,183663555.0
2026-05-13,005990,378430.0,3666590.0,3288160.0
2026-05-13,006040,-544223200.0,1337622200.0,1881845400.0
2026-05-13,006050,-223242801.0,62801381.0,286044182.0
2026-05-13,006060,-170937550.0,14487995.0,185425545.0
2026-05-13,006090,19620620.0,26335410.0,6714790.0
2026-05-13,006110,-8492763500.0,16693630400.0,25186393900.0
2026-05-13,006120,-464504600.0,251775900.0,716280500.0
2026-05-13,006125,-32806250.0,17040350.0,49846600.0
2026-05-13,006140,-710427710.0,1519420935.0,2229848645.0
2026-05-13,006220,-226861060.0,203856960.0,430718020.0
2026-05-13,006260,9325429250.0,47967592000.0,38642162750.0
2026-05-13,006280,-2359372850.0,5516588200.0,7875961050.0
2026-05-13,006340,2835001290.0,13542530090.0,10707528800.0
2026-05-13,006345,189683620.0,3754549160.0,3564865540.0
2026-05-13,006360,2284979000.0,12465389150.0,10180410150.0
2026-05-13,006370,30035585.0,176665535.0,146629950.0
2026-05-13,006400,33998713000.0,171503819500.0,137505106500.0
2026-05-13,006405,-66239750.0,2767171500.0,2833411250.0
2026-05-13,006490,-22368664.0,40361739.0,62730403.0
2026-05-13,006570,-3887243.0,867975.0,4755218.0
2026-05-13,006620,-136284490.0,22887100.0,159171590.0
2026-05-13,006650,3153527150.0,5989221750.0,2835694600.0
2026-05-13,006660,204918785.0,465387380.0,260468595.0
2026-05-13,006730,-859333730.0,2056013760.0,2915347490.0
2026-05-13,006800,-37648590250.0,34609214000.0,72257804250.0
2026-05-13,006805,-696143700.0,666869250.0,1363012950.0
2026-05-13,00680K,-2452320275.0,5473596075.0,7925916350.0
2026-05-13,006840,-31726850.0,994600.0,32721450.0
2026-05-13,006880,-219316950.0,30972830.0,250289780.0
2026-05-13,006890,100813435.0,278789915.0,177976480.0
2026-05-13,0068Y0,-48.0,31952.0,32000.0
2026-05-13,006910,-987606185.0,7907152420.0,8894758605.0
2026-05-13,006920,46273550.0,236083885.0,189810335.0
2026-05-13,006980,28792950.0,48614500.0,19821550.0
2026-05-13,007070,2167565625.0,6340216175.0,4172650550.0
2026-05-13,007110,-168158169.0,175044583.0,343202752.0
2026-05-13,007120,-11227586.0,64436759.0,75664345.0
2026-05-13,007160,-152815000.0,56773550.0,209588550.0
2026-05-13,0071M0,55972.0,55972.0,0.0
2026-05-13,007210,-111787555.0,261360917.0,373148472.0
2026-05-13,007280,-38542235.0,40176590.0,78718825.0
2026-05-13,0072Z0,2930319.0,3288539.0,358220.0
2026-05-13,007310,-353889250.0,468885500.0,822774750.0
2026-05-13,007330,17251230.0,34201890.0,16950660.0
2026-05-13,007340,1888127975.0,3819926300.0,1931798325.0
2026-05-13,007370,-6236470.0,16331875.0,22568345.0
2026-05-13,007390,-1735373265.0,1364596660.0,3099969925.0
2026-05-13,007460,458721610.0,4418601740.0,3959880130.0
2026-05-13,007530,-11965890.0,13186095.0,25151985.0
2026-05-13,007540,-17560150.0,40521150.0,58081300.0
2026-05-13,007570,-272912110.0,117314125.0,390226235.0
2026-05-13,007590,-1880010.0,836350.0,2716360.0
2026-05-13,007610,-1382281255.0,26355758090.0,27738039345.0
2026-05-13,007660,-12928295850.0,41934691550.0,54862987400.0
2026-05-13,007680,5773870.0,7534760.0,1760890.0
