ticker,name,market,entry_execution_date,entry_open_price,pattern_a_stage_at_entry,coverage_path,policy_a_status,policy_a_exit_reason,policy_a_terminal_return_pct,policy_a_terminal_giveback_pct,policy_b_status,policy_b_exit_reason,policy_b_terminal_return_pct,policy_b_terminal_giveback_pct,paired_return_delta_pct,paired_giveback_delta_pct,exit4_triggered,policy_b_better,policy_b_equal,policy_b_worse
097950,CJ제일제당,KOSPI,2024-08-05,361000.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-48.64,53.9,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-48.64,53.9,0.0,0.0,False,False,True,False
098120,마이크로컨텍솔,KOSDAQ,2025-04-21,10880.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,167.46,105.24,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,110.94,13.78,-56.52,-91.46,True,False,False,True
098460,고영,KOSDAQ,2025-02-17,20300.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,59.36,62.31,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,52.46,32.02,-6.9,-30.29,True,False,False,True
099430,바이오플러스,KOSDAQ,2024-12-16,7450.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-50.94,63.96,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-50.94,63.96,0.0,0.0,False,False,True,False
100090,SK오션플랜트,KOSPI,2025-05-19,21450.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT3_PROGRESSED_TO_WEAK,-41.72,89.04,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,-6.53,53.38,35.19,-35.66,True,True,False,False
100120,뷰웍스,KOSDAQ,2026-03-30,28500.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,4.91,17.55,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,4.91,17.55,0.0,0.0,False,False,True,False
101160,월덱스,KOSDAQ,2025-09-22,24650.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,15.42,28.19,OPEN_AT_CUTOFF,,15.42,28.19,0.0,0.0,False,False,True,False
101170,우림피티에스,KOSDAQ,2025-12-01,8750.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT3_PROGRESSED_TO_WEAK,-12.91,187.2,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,85.14,89.15,98.05,-98.05,True,True,False,False
101490,에스앤에스텍,KOSDAQ,2025-10-13,51900.0,EARLY_TREND,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,-14.26,123.12,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,71.1,15.22,85.36,-107.9,True,True,False,False
101530,해태제과식품,KOSPI,2025-06-16,7080.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-16.95,42.66,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-16.95,42.66,0.0,0.0,False,False,True,False
102120,어보브반도체,KOSDAQ,2025-10-13,13050.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-36.7,65.82,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-36.7,65.82,0.0,0.0,False,False,True,False
