window,layer,market,version,lifecycle_group,role,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median
P2-2,ELIGIBLE,KOSDAQ,CLOSED_ONLY,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,56,8.9825,-14.14,-16.9225,31.415,32.1429,15,26.7857,11,19.6429,3,5.3571,22,39.2857,2,3.5714,0,0.0,0,0.0,0,0.0,0.0,100.0,120.5714,75.0,41.3364,25.925,-18.0573,-17.015,32.3539,26.495
P2-2,ELIGIBLE,KOSDAQ,CLOSED_ONLY,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,5,13.986,-12.14,-15.11,25.49,40.0,1,20.0,1,20.0,0,0.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,40.8,39.0,45.448,4.0,-16.588,-16.0,31.462,18.75
P2-2,ELIGIBLE,KOSDAQ,CLOSED_ONLY,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,8,1.275,-15.43,-15.6675,-15.0725,12.5,1,12.5,1,12.5,1,12.5,6,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,106.875,56.0,36.3175,9.64,-15.73,-16.045,35.0425,26.41
P2-2,ELIGIBLE,KOSDAQ,CLOSED_ONLY,COVERAGE_PATH_COMBINED,PRIMARY,13,6.1638,-15.15,-15.64,-12.14,23.0769,2,15.3846,2,15.3846,1,7.6923,8,61.5385,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,81.4615,39.0,39.8292,8.89,-16.06,-16.0,33.6654,24.63
P2-2,ELIGIBLE,KOSDAQ,CLOSED_ONLY,NEVER_PROGRESSED,REFERENCE_ONLY,19,-16.6553,-16.13,-16.86,-15.485,0.0,0,0.0,0,0.0,0,0.0,16,84.2105,1,5.2632,0,0.0,0,0.0,0,0.0,0.0,100.0,40.3684,41.0,16.6963,7.54,-18.4995,-17.61,33.3516,22.5
P2-2,FILLED,KOSPI,ALL,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,113,34.8085,5.62,-15.8,60.92,50.4425,36,31.8584,32,28.3186,19,16.8142,45,39.823,2,1.7699,2,1.7699,1,0.885,0,0.0,2.6549,97.3451,240.9469,107.0,71.0754,36.3,-14.9416,-15.63,36.2669,23.67
P2-2,FILLED,KOSPI,ALL,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,9,-20.1789,-15.61,-16.69,-14.56,0.0,0,0.0,0,0.0,0,0.0,6,66.6667,1,11.1111,1,11.1111,1,11.1111,0,0.0,22.2222,77.7778,236.1111,69.0,17.4911,10.93,-23.2133,-17.21,37.67,26.33
P2-2,FILLED,KOSPI,ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,23,13.9522,-10.81,-16.175,28.305,39.1304,6,26.087,4,17.3913,3,13.0435,9,39.1304,0,0.0,0,0.0,0,0.0,0,0.0,21.7391,78.2609,304.2174,197.0,50.0291,32.82,-15.0813,-16.14,36.077,25.42
P2-2,FILLED,KOSPI,ALL,COVERAGE_PATH_COMBINED,PRIMARY,32,4.3528,-14.445,-16.2175,17.8025,28.125,6,18.75,4,12.5,3,9.375,15,46.875,1,3.125,1,3.125,1,3.125,0,0.0,21.875,78.125,285.0625,105.0,40.8778,20.295,-17.3684,-16.615,36.525,26.32
P2-2,FILLED,KOSPI,ALL,NEVER_PROGRESSED,REFERENCE_ONLY,59,-9.5098,-15.58,-16.38,-14.71,13.5593,2,3.3898,2,3.3898,0,0.0,38,64.4068,0,0.0,0,0.0,0,0.0,0,0.0,16.9492,83.0508,121.4576,58.0,17.7436,12.38,-16.2393,-16.63,27.2534,23.44
