ticker,name,market,total_trades,first_entry_date,last_exit_date,last_trade_status,sequential_cumulative_return_pct,loss_guard_count,positive_trade_count,win_rate_pct,trade_ids
035610,솔본,KOSDAQ,1,2026-07-27,,OPEN_AT_CUTOFF,5.88,0,1,100.0,035610_01
035720,카카오,KOSPI,1,2025-09-15,2026-02-02,REALIZED,-6.92,0,0,0.0,035720_01
035760,CJ ENM,KOSDAQ,2,2025-06-23,2025-11-07,REALIZED,-29.73,2,0,0.0,"035760_01,035760_02"
035810,이지홀딩스,KOSDAQ,1,2025-04-21,2026-03-03,REALIZED,155.41,0,1,100.0,035810_01
035890,서희건설,KOSDAQ,1,2024-09-23,2026-05-13,REALIZED,-19.82,1,0,0.0,035890_01
035900,JYP Ent.,KOSDAQ,2,2020-01-20,2021-04-01,REALIZED,-2.71,1,1,50.0,"035900_01,035900_02"
036200,유니셈,KOSDAQ,1,2025-09-08,2026-05-04,REALIZED,46.69,0,1,100.0,036200_01
036460,한국가스공사,KOSPI,1,2026-02-23,2026-03-05,REALIZED,-17.27,1,0,0.0,036460_01
036570,NC,KOSPI,1,2026-04-20,2026-07-15,REALIZED,-15.33,1,0,0.0,036570_01
036620,감성코퍼레이션,KOSDAQ,1,2025-03-31,2025-11-03,REALIZED,33.77,0,1,100.0,036620_01
036810,에프에스티,KOSDAQ,1,2025-09-15,2025-11-24,REALIZED,-14.15,1,0,0.0,036810_01
