date,kospi_close,trading_value,v_kospi200_close
2021-08-17,3143.09,22224231319202.0,16.34
2021-08-18,3158.93,16739922379864.0,15.48
2021-08-19,3097.83,17158937488011.0,17.82
2021-08-20,3060.51,16440422912575.0,18.92
2021-08-23,3090.21,13413625987951.0,17.29
2021-08-24,3138.3,14902466332174.0,15.62
2021-08-25,3146.81,13260964410543.0,15.48
2021-08-26,3128.53,13316681943554.0,16.15
2021-08-27,3133.9,11027523467465.0,16.17
2021-08-30,3144.19,11748470717304.0,15.88
2021-08-31,3199.27,15853431226235.0,14.76
2021-09-01,3207.02,13524809183929.0,14.96
2021-09-02,3175.85,15248705808284.0,15.25
2021-09-03,3201.06,12996082542930.0,14.62
2021-09-06,3203.33,12247921691664.0,14.24
2021-09-07,3187.42,11894705112919.0,14.18
2021-09-08,3162.99,17262959933738.0,14.73
2021-09-09,3114.7,17761273870998.0,16.02
2021-09-10,3125.76,13525476483977.0,15.18
2021-09-13,3127.86,13479566855749.0,15.28
2021-09-14,3148.83,15766883846716.0,14.67
2021-09-15,3153.4,12123023177057.0,14.66
2021-09-16,3130.09,12238427252770.0,15.44
2021-09-17,3140.51,14886293880234.0,15.48
2021-09-23,3127.58,13989499724045.0,16.72
2021-09-24,3125.24,12550578639564.0,16.33
2021-09-27,3133.64,12253527368007.0,15.92
2021-09-28,3097.92,14640562022468.0,16.45
2021-09-29,3060.27,15121291745400.0,17.87
2021-09-30,3068.82,14934565929032.0,17.35
2021-10-01,3019.18,12931179432962.0,18.91
2021-10-05,2962.17,15294536548455.0,21.22
2021-10-06,2908.31,15645751498582.0,21.84
2021-10-07,2959.46,11893341098850.0,20.54
2021-10-08,2956.3,12621180536930.0,20.47
2021-10-12,2916.38,12759721124993.0,22.4
2021-10-13,2944.41,12287753459787.0,20.54
2021-10-14,2988.64,12057597202707.0,18.21
2021-10-15,3015.06,12534155888702.0,17.03
2021-10-18,3006.68,10643652370406.0,18.01
2021-10-19,3029.04,10107366600502.0,17.24
2021-10-20,3013.13,11171249626120.0,17.73
2021-10-21,3007.33,10566746512522.0,17.68
2021-10-22,3006.16,9042068103190.0,17.2
2021-10-25,3020.54,10484365657776.0,17.03
2021-10-26,3049.08,9507270658362.0,16.11
2021-10-27,3025.49,10216152791891.0,16.88
2021-10-28,3009.55,12363575078072.0,17.09
2021-10-29,2970.68,11026983923416.0,18.55
2021-11-01,2978.94,9406427216194.0,18.33
2021-11-02,3013.49,9658467533277.0,17.28
2021-11-03,2975.71,12433805004245.0,18.36
2021-11-04,2983.22,14653421331222.0,17.6
2021-11-05,2969.27,12661330522212.0,18.02
2021-11-08,2960.2,10378935324113.0,18.24
2021-11-09,2962.46,9671139613164.0,18.0
2021-11-10,2930.17,9640181478578.0,18.19
2021-11-11,2924.92,13458844372638.0,16.98
2021-11-12,2968.8,12465906158618.0,16.18
2021-11-15,2999.52,11396788864817.0,15.9
2021-11-16,2997.21,11092617545885.0,15.97
2021-11-17,2962.42,10653140560775.0,16.51
2021-11-18,2947.38,10113516184703.0,16.74
2021-11-19,2971.02,10995887589490.0,16.25
2021-11-22,3013.25,12937143604667.0,16.17
2021-11-23,2997.33,10826852298685.0,16.5
2021-11-24,2994.29,10957799521464.0,16.27
2021-11-25,2980.27,9395229842711.0,16.16
2021-11-26,2936.44,11894910355357.0,18.04
2021-11-29,2909.32,13030531743510.0,20.92
2021-11-30,2839.01,19838370455363.0,23.23
2021-12-01,2899.72,12522754805983.0,20.57
2021-12-02,2945.27,11909369164238.0,21.02
2021-12-03,2968.33,10335187315713.0,20.09
2021-12-06,2973.25,9649509300155.0,20.91
2021-12-07,2991.72,10210308202424.0,18.48
2021-12-08,3001.8,11111268897191.0,17.69
2021-12-09,3029.57,12608838374715.0,16.65
2021-12-10,3010.23,8430642876188.0,17.39
2021-12-13,3001.66,8625102994713.0,18.0
2021-12-14,2987.95,9853555340241.0,18.4
2021-12-15,2989.39,8249185695444.0,18.43
2021-12-16,3006.41,8520024436080.0,16.98
2021-12-17,3017.73,11646578368376.0,17.02
2021-12-20,2963.0,8617589481249.0,19.52
2021-12-21,2975.03,9104734071075.0,18.32
2021-12-22,2984.48,8832981707665.0,17.42
2021-12-23,2998.17,9315464818188.0,16.93
2021-12-24,3012.43,8579704745352.0,16.5
2021-12-27,2999.55,8277761866901.0,17.46
2021-12-28,3020.24,12093287823838.0,17.07
2021-12-29,2993.29,10905208946311.0,16.55
2021-12-30,2977.65,8724742948498.0,16.5
2022-01-03,2988.77,8190152505238.0,16.57
2022-01-04,2989.24,9988766674411.0,16.0
2022-01-05,2953.97,15424885226545.0,16.58
2022-01-06,2920.53,13292193007787.0,17.52
2022-01-07,2954.89,10580010630157.0,16.99
2022-01-10,2926.72,10394753472521.0,17.41
2022-01-11,2927.38,10642837482302.0,17.27
2022-01-12,2972.48,10887708986601.0,15.91
2022-01-13,2962.09,11456333187737.0,15.96
2022-01-14,2921.92,10796747880741.0,16.97
2022-01-17,2890.1,10394296739803.0,17.53
2022-01-18,2864.24,10038009976701.0,18.16
2022-01-19,2842.28,9644130904771.0,18.76
2022-01-20,2862.68,8869580931802.0,17.99
2022-01-21,2834.29,10715682237043.0,19.36
2022-01-24,2792.0,9301287621651.0,21.48
2022-01-25,2720.39,11695214598232.0,26.26
2022-01-26,2709.24,8967860158476.0,24.83
2022-01-27,2614.49,20544231521305.0,27.94
2022-01-28,2663.34,13749546375172.0,23.97
2022-02-03,2707.82,12470029735823.0,22.92
2022-02-04,2750.26,11391161609725.0,21.02
2022-02-07,2745.06,11290375579667.0,21.59
2022-02-08,2746.47,11771193478028.0,21.06
2022-02-09,2768.85,10334330474435.0,19.68
2022-02-10,2771.93,12773328033599.0,19.21
2022-02-11,2747.71,10990617579319.0,20.92
2022-02-14,2704.48,11576480492993.0,23.84
2022-02-15,2676.54,9433155849719.0,24.62
2022-02-16,2729.68,8387590390613.0,21.94
2022-02-17,2744.09,11810290607477.0,23.28
2022-02-18,2744.52,8501783748169.0,23.68
2022-02-21,2743.8,7894146608142.0,23.79
2022-02-22,2706.79,10588073328253.0,25.34
