ticker,name,strategy,entry_signal_date,entry_execution_date,entry_open,exit_date,exit_type,return,mfe,mae
035600,035600,BASELINE_V2,2026-02-20,2026-02-23,12270.0,2026-03-05,LOSS_GUARD_CLOSE_LE_NEG_15,-16.95,0.08,-19.4
035760,035760,BASELINE_V2,2025-08-22,2025-08-25,77400.0,2025-11-07,LOSS_GUARD_CLOSE_LE_NEG_15,-15.5,6.33,-17.83
041190,041190,BASELINE_V2,2025-07-04,2025-07-07,9900.0,2025-11-18,LOSS_GUARD_CLOSE_LE_NEG_15,-17.68,32.73,-17.98
041440,041440,BASELINE_V2,2026-04-10,2026-04-13,8830.0,2026-06-09,LOSS_GUARD_CLOSE_LE_NEG_15,-16.19,28.2,-17.33
041520,041520,BASELINE_V2,2026-04-10,2026-04-13,10220.0,2026-08-03,EXIT4_SCORE_DRAWDOWN_GE_15,-11.94,33.27,-27.59
041920,041920,BASELINE_V2,2025-12-05,2025-12-08,7000.0,2026-08-03,EXIT3_PROGRESSED_TO_WEAK,14.29,322.86,-12.29
042420,042420,BASELINE_V2,2026-01-30,2026-02-02,29000.0,2026-03-05,LOSS_GUARD_CLOSE_LE_NEG_15,-21.03,3.28,-23.62
042660,042660,BASELINE_V2,2025-01-03,2025-01-06,37500.0,2025-05-02,EXIT4_SCORE_DRAWDOWN_GE_15,109.33,154.13,-3.2
047040,047040,BASELINE_V2,2026-01-23,2026-01-26,5100.0,2026-05-04,EXIT4_SCORE_DRAWDOWN_GE_15,586.27,691.18,-6.67
049430,049430,BASELINE_V2,2024-12-13,2024-12-16,11610.0,2025-04-01,LOSS_GUARD_CLOSE_LE_NEG_15,-16.71,4.74,-17.23
049430,049430,BASELINE_V2,2025-07-11,2025-07-14,12050.0,2026-08-03,EXIT4_SCORE_DRAWDOWN_GE_15,63.15,96.27,-15.52
049520,049520,BASELINE_V2,2026-02-20,2026-02-23,4100.0,2026-06-09,LOSS_GUARD_CLOSE_LE_NEG_15,-13.41,5.98,-16.71
050890,050890,BASELINE_V2,2025-01-24,2025-01-31,8000.0,2025-03-10,LOSS_GUARD_CLOSE_LE_NEG_15,-14.62,3.5,-15.0
055550,055550,BASELINE_V2,2024-01-05,2024-01-08,37100.0,2025-08-01,EXIT3_PROGRESSED_TO_EARLY_TREND,80.05,98.11,-2.7
058610,058610,BASELINE_V2,2025-10-24,2025-10-27,31550.0,2026-02-02,EXIT4_SCORE_DRAWDOWN_GE_15,375.44,425.2,-7.45
058630,058630,BASELINE_V2,2025-08-08,2025-08-11,6630.0,2026-01-16,LOSS_GUARD_CLOSE_LE_NEG_15,-15.69,15.54,-16.29
066570,066570,BASELINE_V2,2025-11-07,2025-11-10,89000.0,,NO_EXIT_BEFORE_CUTOFF,141.57,392.13,-5.62
068270,068270,BASELINE_V2,2025-11-14,2025-11-17,189775.0,2026-06-09,LOSS_GUARD_CLOSE_LE_NEG_15,-15.64,26.07,-16.48
068930,068930,BASELINE_V2,2026-02-13,2026-02-19,8560.0,2026-06-24,LOSS_GUARD_CLOSE_LE_NEG_15,-15.89,7.24,-17.17
069620,069620,BASELINE_V2,2024-10-04,2024-10-07,140300.0,2024-12-10,LOSS_GUARD_CLOSE_LE_NEG_15,-16.89,17.18,-18.03
069620,069620,BASELINE_V2,2025-07-11,2025-07-14,162200.0,2025-08-07,LOSS_GUARD_CLOSE_LE_NEG_15,-15.47,7.58,-16.58
070960,070960,BASELINE_V2,2025-06-20,2025-06-23,4960.0,2025-09-01,EXIT3_PROGRESSED_TO_TRANSITION,-16.73,7.26,-20.06
071200,071200,BASELINE_V2,2025-04-25,2025-04-28,5980.0,,NO_EXIT_BEFORE_CUTOFF,75.25,83.61,-12.21
073010,073010,BASELINE_V2,2025-08-29,2025-09-01,5600.0,2025-11-19,LOSS_GUARD_CLOSE_LE_NEG_15,-15.36,47.5,-15.54
074600,074600,BASELINE_V2,2026-02-06,2026-02-09,30600.0,2026-08-03,EXIT3_PROGRESSED_TO_BASE,-20.59,48.37,-34.64
078600,078600,BASELINE_V2,2026-04-17,2026-04-20,132800.0,2026-06-09,LOSS_GUARD_CLOSE_LE_NEG_15,-17.55,38.03,-19.8
078930,078930,BASELINE_V2,2023-11-24,2023-11-27,42950.0,2025-03-04,LOSS_GUARD_CLOSE_LE_NEG_15,-15.13,33.88,-16.07
