variant,checkpoint,checkpoint_index,recovery_class,metric,count,mean,median,p25,p75
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,strong_observation_count,117,0.0,0.0,0.0,0.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,unavailable_observation_count,117,0.0,0.0,0.0,0.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,weak_share_usable,117,1.0,1.0,1.0,1.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,consecutive_weak_streak,117,1.0,1.0,1.0,1.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,arm_to_checkpoint_close_delta_pp,179,1.193324,0.728863,-0.839956,3.300637
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,post_arm_additional_close_deterioration_pp,179,1.281022,0.043478,0.0,2.10262
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,post_arm_running_min_close_return_pct,179,-31.836194,-31.047148,-33.461794,-29.823194
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,post_arm_additional_low_deterioration_pp,179,2.110631,1.326781,0.386601,3.074974
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,weak_observation_count,179,1.0,1.0,1.0,1.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,strong_observation_count,179,0.0,0.0,0.0,0.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,unavailable_observation_count,179,0.0,0.0,0.0,0.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,weak_share_usable,179,1.0,1.0,1.0,1.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,consecutive_weak_streak,179,1.0,1.0,1.0,1.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,arm_to_checkpoint_close_delta_pp,117,1.377034,1.335559,-1.893765,5.03003
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,post_arm_additional_close_deterioration_pp,117,2.774728,1.600985,0.0,4.394619
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,post_arm_running_min_close_return_pct,117,-33.562596,-32.7252,-36.09761,-30.600462
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,post_arm_additional_low_deterioration_pp,117,3.501159,2.360656,0.66778,5.501222
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,weak_observation_count,117,2.0,2.0,2.0,2.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,strong_observation_count,117,0.0,0.0,0.0,0.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,unavailable_observation_count,117,0.0,0.0,0.0,0.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,weak_share_usable,117,1.0,1.0,1.0,1.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,consecutive_weak_streak,117,2.0,2.0,2.0,2.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,arm_to_checkpoint_close_delta_pp,179,1.429161,1.17096,-1.835122,4.058471
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,post_arm_additional_close_deterioration_pp,179,2.240383,1.335878,0.0,3.786544
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,post_arm_running_min_close_return_pct,179,-33.115751,-32.751678,-34.867757,-30.638607
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,post_arm_additional_low_deterioration_pp,179,3.101059,2.317881,0.661861,4.835712
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,weak_observation_count,179,1.994413,2.0,2.0,2.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,strong_observation_count,179,0.005587,0.0,0.0,0.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,unavailable_observation_count,179,0.0,0.0,0.0,0.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,weak_share_usable,179,0.997207,1.0,1.0,1.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,consecutive_weak_streak,179,1.988827,2.0,2.0,2.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,arm_to_checkpoint_close_delta_pp,117,1.533717,1.293302,-3.38686,5.597723
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,post_arm_additional_close_deterioration_pp,117,3.407336,2.320505,0.0,5.475575
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,post_arm_running_min_close_return_pct,117,-34.288468,-33.279872,-37.007874,-30.995106
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,post_arm_additional_low_deterioration_pp,117,4.16876,2.967121,1.127819,6.573427
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,weak_observation_count,117,3.0,3.0,3.0,3.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,strong_observation_count,117,0.0,0.0,0.0,0.0
