variant,checkpoint,checkpoint_index,recovery_class,fast_state,fast_bucket,count,rate_pct,eligible_denominator
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,EXTENDED,STRONG,0,0.0,116
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,SETUP,WEAK,33,28.448276,116
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,TREND,STRONG,1,0.862069,116
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,TRIGGER,STRONG,3,2.586207,116
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,UNAVAILABLE,UNAVAILABLE,0,0.0,116
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,WATCH,WEAK,79,68.103448,116
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,EXTENDED,STRONG,0,0.0,170
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,SETUP,WEAK,43,25.294118,170
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,TREND,STRONG,1,0.588235,170
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,TRIGGER,STRONG,0,0.0,170
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,UNAVAILABLE,UNAVAILABLE,0,0.0,170
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,WATCH,WEAK,126,74.117647,170
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,EXTENDED,STRONG,0,0.0,113
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,SETUP,WEAK,37,32.743363,113
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,TREND,STRONG,2,1.769912,113
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,TRIGGER,STRONG,2,1.769912,113
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,UNAVAILABLE,UNAVAILABLE,0,0.0,113
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,WATCH,WEAK,72,63.716814,113
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,EXTENDED,STRONG,0,0.0,160
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,SETUP,WEAK,47,29.375,160
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,TREND,STRONG,2,1.25,160
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,TRIGGER,STRONG,2,1.25,160
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,UNAVAILABLE,UNAVAILABLE,0,0.0,160
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,WATCH,WEAK,109,68.125,160
