ticker,market,canonical_sector_code,canonical_sector_name,naver_sector_names,naver_sector_count,mapped_naver_sector_codes,classification,possible_reference_date_drift
127710,KOSDAQ,2118,IT 서비스,출판,1,2037,SECTOR_CONFLICT,True
130500,KOSDAQ,2058,섬유·의류,자동차부품,1,2075,SECTOR_CONFLICT,True
131220,KOSDAQ,2027,유통,생명과학도구및서비스,1,2012,SECTOR_CONFLICT,True
131290,KOSDAQ,2074,의료·정밀기기,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
131760,KOSDAQ,2070,기계·장비,디스플레이장비및부품,1,2072,SECTOR_CONFLICT,True
131970,KOSDAQ,2012,일반서비스,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
134060,KOSDAQ,2037,오락·문화,교육서비스,1,2012,SECTOR_CONFLICT,True
137080,KOSDAQ,2070,기계·장비,디스플레이장비및부품,1,2072,SECTOR_CONFLICT,True
137400,KOSDAQ,2070,기계·장비,전기제품,1,2072,SECTOR_CONFLICT,True
137940,KOSDAQ,2074,의료·정밀기기,화장품,1,2065,SECTOR_CONFLICT,True
138070,KOSDAQ,2068,금속,기계,1,2070,SECTOR_CONFLICT,True
138610,KOSDAQ,2066,제약,건강관리장비와용품,1,2074,SECTOR_CONFLICT,True
140070,KOSDAQ,2027,유통,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
140410,KOSDAQ,2012,일반서비스,식품,1,2056,SECTOR_CONFLICT,True
140430,KOSDAQ,2118,IT 서비스,통신장비,1,2072,SECTOR_CONFLICT,True
140670,KOSDAQ,2072,전기전자,기계,1,2070,SECTOR_CONFLICT,True
140860,KOSDAQ,2074,의료·정밀기기,전자장비와기기,1,2072,SECTOR_CONFLICT,True
141000,KOSDAQ,2070,기계·장비,디스플레이장비및부품,1,2072,SECTOR_CONFLICT,True
141080,KOSDAQ,2012,일반서비스,제약,1,2066,SECTOR_CONFLICT,True
142210,KOSDAQ,2027,유통,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
142280,KOSDAQ,2066,제약,건강관리장비와용품,1,2074,SECTOR_CONFLICT,True
142760,KOSDAQ,2012,일반서비스,제약,1,2066,SECTOR_CONFLICT,True
143540,KOSDAQ,2070,기계·장비,디스플레이장비및부품,1,2072,SECTOR_CONFLICT,True
144510,KOSDAQ,2012,일반서비스,건강관리업체및서비스,1,2056,SECTOR_CONFLICT,True
144960,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
145210,KOSPI,1012,기계·장비,자동차부품,1,1015,SECTOR_CONFLICT,True
146060,KOSDAQ,2068,금속,자동차부품,1,2075,SECTOR_CONFLICT,True
147760,KOSDAQ,2074,의료·정밀기기,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
147830,KOSDAQ,2068,금속,전기장비,1,2072,SECTOR_CONFLICT,True
148930,KOSDAQ,2068,금속,전기제품,1,2072,SECTOR_CONFLICT,True
153890,KOSDAQ,2072,전기전자,기계,1,2070,SECTOR_CONFLICT,True
159580,KOSDAQ,2027,유통,화장품,1,2065,SECTOR_CONFLICT,True
160190,KOSDAQ,2072,전기전자,기계,1,2070,SECTOR_CONFLICT,True
160980,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
161390,KOSPI,1008,화학,자동차부품,1,1015,SECTOR_CONFLICT,True
161580,KOSDAQ,2070,기계·장비,전자장비와기기,1,2072,SECTOR_CONFLICT,True
163280,KOSDAQ,2070,기계·장비,화학,1,2065,SECTOR_CONFLICT,True
168330,KOSDAQ,2012,일반서비스,화장품,1,2065,SECTOR_CONFLICT,True
168360,KOSDAQ,2070,기계·장비,전자장비와기기,1,2072,SECTOR_CONFLICT,True
169330,KOSDAQ,2012,일반서비스,IT서비스,1,2118,SECTOR_CONFLICT,True
170920,KOSDAQ,2065,화학,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
171010,KOSDAQ,2065,화학,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
171090,KOSDAQ,2070,기계·장비,디스플레이장비및부품,1,2072,SECTOR_CONFLICT,True
171120,KOSDAQ,2065,화학,건축자재,1,2067,SECTOR_CONFLICT,True
180400,KOSDAQ,2012,일반서비스,건강관리업체및서비스,1,2056,SECTOR_CONFLICT,True
180640,KOSPI,1021,금융,항공사,1,1019,SECTOR_CONFLICT,True
182400,KOSDAQ,2066,제약,생명과학도구및서비스,1,2012,SECTOR_CONFLICT,True
183300,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
185490,KOSDAQ,2012,일반서비스,생물공학,1,2066,SECTOR_CONFLICT,True
186230,KOSDAQ,2068,금속,건축자재,1,2067,SECTOR_CONFLICT,True
187220,KOSDAQ,2012,일반서비스,전자장비와기기,1,2072,SECTOR_CONFLICT,True
187660,KOSDAQ,2012,일반서비스,제약,1,2066,SECTOR_CONFLICT,True
187870,KOSDAQ,2070,기계·장비,디스플레이장비및부품,1,2072,SECTOR_CONFLICT,True
188260,KOSDAQ,2077,기타제조,건강관리장비와용품,1,2074,SECTOR_CONFLICT,True
192390,KOSDAQ,2068,금속,건축자재,1,2067,SECTOR_CONFLICT,True
192400,KOSPI,1021,금융,가정용기기와용품,1,1026,SECTOR_CONFLICT,True
192440,KOSDAQ,2077,기타제조,핸드셋,1,2072,SECTOR_CONFLICT,True
196170,KOSDAQ,2012,일반서비스,생물공학,1,2066,SECTOR_CONFLICT,True
196450,KOSDAQ,2074,의료·정밀기기,핸드셋,1,2072,SECTOR_CONFLICT,True
196490,KOSDAQ,2070,기계·장비,전기제품,1,2072,SECTOR_CONFLICT,True
198940,KOSDAQ,2068,금속,자동차부품,1,2075,SECTOR_CONFLICT,True
199430,KOSDAQ,2074,의료·정밀기기,기계,1,2070,SECTOR_CONFLICT,True
199800,KOSDAQ,2012,일반서비스,생물공학,1,2066,SECTOR_CONFLICT,True
200130,KOSDAQ,2066,제약,건강관리업체및서비스,1,2056,SECTOR_CONFLICT,True
203400,KOSDAQ,2012,일반서비스,제약,1,2066,SECTOR_CONFLICT,True
204840,KOSDAQ,2027,유통,제약,1,2066,SECTOR_CONFLICT,True
205470,KOSDAQ,2066,제약,생명과학도구및서비스,1,2012,SECTOR_CONFLICT,True
206640,KOSDAQ,2066,제약,생명과학도구및서비스,1,2012,SECTOR_CONFLICT,True
208860,KOSDAQ,2118,IT 서비스,자동차부품,1,2075,SECTOR_CONFLICT,True
209640,KOSDAQ,2070,기계·장비,전자장비와기기,1,2072,SECTOR_CONFLICT,True
214370,KOSDAQ,2066,제약,건강관리업체및서비스,1,2056,SECTOR_CONFLICT,True
214430,KOSDAQ,2072,전기전자,우주항공과국방,1,2075,SECTOR_CONFLICT,True
214450,KOSDAQ,2066,제약,건강관리장비와용품,1,2074,SECTOR_CONFLICT,True
215000,KOSDAQ,2118,IT 서비스,"호텔,레스토랑,레저",1,2012,SECTOR_CONFLICT,True
215090,KOSDAQ,2074,의료·정밀기기,우주항공과국방,1,2075,SECTOR_CONFLICT,True
