strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price,hwm_price
V3,069500,2020-10-30,2020-11-02,30210.0,2021-10-06,2021-10-07,38600.0,SOFT_EXIT,REALIZED,27.77,50.18,-0.1,231,22.41,12,PATTERN_A_FAST_FINAL_STRATEGY_V03,2021-10-07,,
V3,069500,2020-11-06,2020-11-09,32485.0,2021-08-20,2021-08-23,40420.0,SOFT_EXIT,REALIZED,24.43,39.66,-0.42,197,15.23,13,PATTERN_A_FAST_FINAL_STRATEGY_V03,2021-08-23,,
V3,069500,2020-11-13,2020-11-16,33505.0,2021-08-20,2021-08-23,40420.0,SOFT_EXIT,REALIZED,20.64,35.41,-0.25,192,14.77,14,PATTERN_A_FAST_FINAL_STRATEGY_V03,2021-08-23,,
V3,069500,2020-11-20,2020-11-23,34150.0,2021-08-20,2021-08-23,40420.0,SOFT_EXIT,REALIZED,18.36,32.86,-0.28,187,14.5,15,PATTERN_A_FAST_FINAL_STRATEGY_V03,2021-08-23,,
V3,069500,2020-11-27,2020-11-30,35330.0,2021-08-20,2021-08-23,40420.0,SOFT_EXIT,REALIZED,14.41,28.42,-1.83,182,14.01,16,PATTERN_A_FAST_FINAL_STRATEGY_V03,2021-08-23,,
V3,069500,2021-01-29,2021-02-01,41000.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,135.65,271.84,-31.66,1345,136.19,17,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2021-02-05,2021-02-08,42905.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,125.18,255.33,-34.69,1340,130.15,18,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2021-02-19,2021-02-22,43055.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,124.4,254.09,-34.92,1332,129.69,19,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2024-05-03,2024-05-07,37075.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,160.59,311.21,-16.82,542,150.62,20,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V3,069500,2024-05-10,2024-05-13,37335.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,158.78,308.34,-17.4,538,149.56,21,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
