ticker,name,market,asset_type,is_common_stock,metadata_source,effective_date,classification_authority,asset_type_source,source_security_type
041830,인바디,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
352940,인바이오,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
101140,인바이오젠,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
079950,인베니아,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
277410,인산가,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
060150,인선이엔티,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
033230,인성정보,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
006490,인스코비,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
037330,인지디스플레,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
023800,인지컨트롤스,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
034590,인천도시가스,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
211050,인카금융서비스,KONEX,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
083640,인콘,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
216050,인크로스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
049070,인탑스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
119610,인터로조,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
017250,인터엠,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
129260,인터지스,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
240340,인터코스,KONEX,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
035080,인터파크,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
051370,인터플렉스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
064290,인텍플러스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
189300,인텔리안테크,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
150840,인트로메딕,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
048530,인트론바이오,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
023810,인팩,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
175140,인포마크,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
115310,인포바인,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
039290,인포뱅크,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
041020,인프라웨어,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
071200,인피니트헬스케어,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
101930,인화정공,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
249420,일동제약,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
000230,일동홀딩스,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
013360,일성건설,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
003120,일성신약,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
068330,일신바이오,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
003200,일신방직,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
007110,일신석재,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
058450,일야,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
007570,일양약품,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
007575,일양약품우,KOSPI,PREFERRED,False,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
008500,일정실업,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
019540,일지테크,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
081000,일진다이아,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
020760,일진디스플,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
020150,일진머티리얼즈,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
103590,일진전기,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
094820,일진파워,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
015860,일진홀딩스,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
