ticker,trade_sequence,legacy_trade_sequence,current_trade_sequence,legacy_present,current_present,legacy_entry_signal_date,current_entry_signal_date,market_cap_reference_date,market_cap_source,source_available_in_legacy_generation,source_available_in_current_generation,delta_classification
039340,1,1,1,True,True,2024-12-27,2024-12-27,2024-12-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
042660,1,,1,False,True,,2023-04-21,2023-04-21,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230421.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
044450,1,1,1,True,True,2024-09-27,2024-09-27,2024-09-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
052330,1,1,1,True,True,2025-03-28,2025-03-28,2025-03-28,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250328.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
053350,1,1,1,True,True,2025-03-28,2025-03-28,2025-03-28,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250328.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
054950,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
055550,1,,1,False,True,,2023-01-06,2023-01-06,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230106.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
058610,1,1,1,True,True,2025-01-31,2025-01-31,2025-01-31,artifacts/patterns/pattern_a/production/investability/source/krx_market_cap_20250131.csv,True,True,UNCHANGED_BEHAVIORAL_ROW
060980,1,1,1,True,True,2025-03-28,2025-03-28,2025-03-28,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250328.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
064760,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
064960,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
065660,1,1,1,True,True,2024-12-27,2024-12-27,2024-12-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
066570,1,,1,False,True,,2023-07-14,2023-07-14,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230714.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
066620,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
067830,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
068270,1,1,1,True,True,2023-12-22,2023-12-22,2023-12-22,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20231222.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
069460,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
069620,1,1,1,True,True,2022-03-25,2022-03-18,2022-03-18,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220318.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
069960,1,1,1,True,True,2025-03-28,2025-03-28,2025-03-28,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250328.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
072710,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
078930,1,1,1,True,True,2024-03-29,2022-05-06,2022-05-06,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220506.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
079550,1,,1,False,True,,2023-11-10,2023-11-10,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20231110.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
079960,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
