date,strategy_id,valuation_basis_date,cash,pending_sale_proceeds,invested_market_value,equity,drawdown,exposure,cash_ratio,open_positions,valuation_is_execution_support_only
2022-08-09,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-09,116231884.9084833,0.0,73784379.0,190016263.9084833,-0.0510772252742514,0.3883055980699444,0.6116944019300555,15,False
2022-08-10,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-10,116231884.9084833,0.0,73293226.0,189525110.9084833,-0.0535299956739439,0.38672039630353455,0.6132796036964654,15,False
2022-08-11,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-11,116231884.9084833,0.0,74046543.0,190278427.9084833,-0.04976800370975931,0.38914838541557417,0.6108516145844258,15,False
2022-08-12,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-12,116231884.9084833,0.0,74233769.0,190465653.9084833,-0.048833015242107036,0.3897488469793537,0.6102511530206463,15,False
2022-08-16,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-16,96505058.1642587,4148149.573125,89401701.0,190054908.73738372,-0.05088423675045506,0.4703993261417653,0.5296006738582346,18,False
2022-08-17,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-17,100653207.73738371,0.0,88715089.0,189368296.73738372,-0.05431311042052045,0.46847909881679,0.5315209011832099,18,False
2022-08-18,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-18,100653207.73738371,0.0,88297617.0,188950824.73738372,-0.0563979250593406,0.4673047451511357,0.5326952548488643,18,False
2022-08-19,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-19,100653207.73738371,0.0,88040631.0,188693838.73738372,-0.057681288194525226,0.46657925658363075,0.5334207434163691,18,False
2022-08-22,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-22,95679493.79218371,0.0,92594813.0,188274306.7921837,-0.059776389999689816,0.491808014474358,0.508191985525642,19,False
2022-08-23,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-23,95679493.79218371,0.0,92161586.0,187841079.7921837,-0.06193988357897684,0.4906359466308549,0.5093640533691451,19,False
2022-08-24,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-24,95679493.79218371,4199472.024300001,89985867.0,189864832.8164837,-0.051833457446404885,0.4739469951603781,0.5260530048396219,18,False
2022-08-25,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-25,99878965.8164837,0.0,90503933.0,190382898.8164837,-0.049246286137490825,0.47537847969863983,0.5246215203013602,18,False
2022-08-26,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-26,99878965.8164837,0.0,90363676.0,190242641.8164837,-0.04994671597900591,0.47499170079423475,0.5250082992057653,18,False
2022-08-29,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-29,94923272.5739837,0.0,94406902.0,189330174.5739837,-0.05450348880354938,0.49863632256415125,0.5013636774358488,19,False
2022-08-30,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-30,94923272.5739837,0.0,95276274.0,190199546.5739837,-0.050161929436261854,0.5009279765182799,0.49907202348172003,19,False
2022-08-31,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-31,94923272.5739837,0.0,95547753.0,190471025.5739837,-0.04880618966609218,0.5016393055692708,0.4983606944307292,19,False
2022-09-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-09-01,94923272.5739837,0.0,93463119.0,188386391.5739837,-0.05921664948083927,0.49612457789072767,0.5038754221092723,19,False
2022-09-02,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-09-02,94923272.5739837,0.0,93200658.0,188123930.5739837,-0.06052735423449784,0.4954215963680754,0.5045784036319245,19,False
2022-09-05,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-09-05,84947822.4908852,0.0,103557856.0,188505678.4908852,-0.05862094219849223,0.5493619970976489,0.4506380029023512,21,False
2022-09-06,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-09-06,84947822.4908852,0.0,104577016.0,189524838.4908852,-0.05353135610098181,0.5517852796114079,0.44821472038859217,21,False
2022-09-07,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-09-07,84947822.4908852,0.0,103175737.0,188123559.4908852,-0.060529207387466144,0.5484466553749159,0.4515533446250841,21,False
2022-09-08,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-09-08,84947822.4908852,4174657.8682949995,99677356.0,188799836.3591802,-0.05715194636177612,0.5279525550560854,0.47204744494391454,20,False
2022-09-13,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-09-13,89122480.3591802,0.0,100336977.0,189459457.3591802,-0.053857863125359895,0.5295960328323942,0.4704039671676057,20,False
2022-09-14,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-09-14,89122480.3591802,0.0,98980978.0,188103458.3591802,-0.060629590487734863,0.5262049877413608,0.47379501225863907,20,False
2022-09-15,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-09-15,89122480.3591802,0.0,98785540.0,187908020.3591802,-0.061605588886146534,0.5257122064889758,0.4742877935110242,20,False
2022-09-16,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-09-16,89122480.3591802,0.0,96506649.0,185629129.3591802,-0.07298614929995961,0.5198895740833108,0.4801104259166891,20,False
2022-09-19,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-09-19,84195319.8959552,4012528.7502045003,96743421.0,184951269.6461597,-0.07637131489854232,0.5230751926444467,0.47692480735555326,20,False
2022-09-20,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-09-20,88207848.64615971,0.0,97907071.0,186114919.6461597,-0.07056015976846652,0.5260570790678157,0.4739429209321843,20,False
2022-09-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-09-21,88207848.64615971,0.0,96383586.0,184591434.6461597,-0.07816829595490027,0.522145494912893,0.47785450508710703,20,False
2022-09-22,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-09-22,88207848.64615971,3602768.3069184003,93504201.0,185314817.9530781,-0.07455578994793077,0.5045694782145018,0.4954305217854983,19,False
2022-09-23,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-09-23,91810616.9530781,0.0,90910504.0,182721120.9530781,-0.08750846096362463,0.49753692143419687,0.5024630785658032,19,False
