ticker,close,market_cap,volume,trading_value,shares_outstanding,effective_date
267270,66500,1217321469000,358487,24347667800,18305586,2025-01-31
375500,31350,1213045081050,143862,4549427650,38693623,2025-01-31
003090,20600,1197724788000,34432,716813750,58141980,2025-01-31
185750,86600,1195320748000,21033,1817212800,13802780,2025-01-31
160190,38500,1189188000000,3187875,118731616750,30888000,2025-01-31
009450,81000,1180055952000,583197,47518239700,14568592,2025-01-31
035760,53600,1175402654400,58505,3141779100,21929154,2025-01-31
031980,54000,1164369330000,489208,26223510500,21562395,2025-01-31
007390,18060,1162290237360,297642,5353933260,64357156,2025-01-31
018290,32250,1154485725750,887434,28958291150,35798007,2025-01-31
001570,18010,1152049199960,1166438,20464741720,63967196,2025-01-31
069960,50400,1140492175200,98157,4940372600,22628813,2025-01-31
004490,81100,1135400000000,43337,3534258100,14000000,2025-01-31
253450,37550,1128696599900,49352,1865367800,30058498,2025-01-31
005290,21900,1125977418600,665494,14631468700,51414494,2025-01-31
098460,16350,1122505244250,6695265,107857591880,68654755,2025-01-31
009970,81900,1116754984800,8311,681387100,13635592,2025-01-31
240810,22550,1106841967550,207117,4712173700,49083901,2025-01-31
009240,46950,1104917919600,28384,1333664500,23533928,2025-01-31
014820,37950,1100219151900,16844,640829250,28991282,2025-01-31
294870,16600,1094061678000,325939,5417011880,65907330,2025-01-31
051915,139000,1068743200000,40339,5603029400,7688800,2025-01-31
336260,16300,1067547733800,243665,3967233730,65493726,2025-01-31
300720,15390,1065935100600,41583,643380570,69261540,2025-01-31
001530,49700,1065236103400,29925,1490081550,21433322,2025-01-31
011210,38950,1059248482850,86976,3417776800,27195083,2025-01-31
192080,49000,1053299394000,54822,2695610950,21495906,2025-01-31
014680,92700,1050772576500,48005,4471759700,11335195,2025-01-31
089860,28400,1031186619200,41425,1180650900,36309388,2025-01-31
004000,39700,1024260000000,45797,1826562300,25800000,2025-01-31
039200,26700,1021212949200,105625,2848008950,38247676,2025-01-31
020150,22100,1019049453500,113593,2539240650,46110835,2025-01-31
195940,35500,1005711130500,149909,5331046350,28329891,2025-01-31
042000,41200,999225824800,833132,33847619750,24253054,2025-01-31
457190,32850,992341998000,203333,6732204450,30208280,2025-01-31
365550,4630,986602070000,124199,571099430,213089000,2025-01-31
280360,102700,968930749800,15374,1565172200,9434574,2025-01-31
298020,223500,967236927000,14888,3369113500,4327682,2025-01-31
001120,24950,967062000000,152327,3779390650,38760000,2025-01-31
137400,40550,962782137300,317733,12821244200,23743086,2025-01-31
005300,103500,960364494000,12219,1254120900,9278884,2025-01-31
001800,15180,950957505960,112353,1694126510,62645422,2025-01-31
071970,28000,949801860000,494372,13781684450,33921495,2025-01-31
140410,31600,946841449200,59211,1871871950,29963337,2025-01-31
248070,18850,942604636350,67174,1266536390,50005551,2025-01-31
122870,49850,931748792650,247209,12446937550,18691049,2025-01-31
001740,4195,928260798890,329342,1381953890,221277902,2025-01-31
232140,11260,923830641000,950430,10823355140,82045350,2025-01-31
067160,80300,923029790100,129642,10442459700,11494767,2025-01-31
108320,56600,920559380000,46368,2623912600,16264300,2025-01-31
115450,11410,914396635530,286562,3282903580,80139933,2025-01-31
353200,18500,914213112500,1281810,24059426370,49416925,2025-01-31
415640,7450,912964332600,46240,343586800,122545548,2025-01-31
034230,9910,909456783930,161842,1602558390,91771623,2025-01-31
000815,284500,908124000000,28165,7787161500,3192000,2025-01-31
078130,800,901924696800,0,0,1127405871,2025-01-31
039130,56100,899798278500,68104,3767923900,16039185,2025-01-31
085620,5080,899242240120,47594,245961900,177016189,2025-01-31
417200,13250,896397731750,419373,5596185010,67652659,2025-01-31
033100,55500,891463699500,816489,45854472100,16062409,2025-01-31
330590,3075,888579318300,326570,1001668375,288968884,2025-01-31
003850,10200,885229511400,123434,1257613230,86787207,2025-01-31
950210,14540,873798093700,87091,1282562030,60096155,2025-01-31
225570,13220,870671500280,173392,2296320400,65860174,2025-01-31
086900,118400,864142044800,22837,2704006900,7298497,2025-01-31
064760,73800,861615000000,98155,7192084400,11675000,2025-01-31
058970,69700,851133952700,292874,20033761000,12211391,2025-01-31
376300,35850,851021855100,134292,4859756600,23738406,2025-01-31
003030,205000,849039685000,4715,985367000,4141657,2025-01-31
053800,76100,846727106600,293959,22360995300,11126506,2025-01-31
084370,36900,845601949800,162545,6094573050,22916042,2025-01-31
079160,5100,844459101600,160037,815220400,165580216,2025-01-31
003540,16600,842838440000,89353,1484918650,50773400,2025-01-31
091810,3900,839978006400,34902240,146150636830,215378976,2025-01-31
047920,26000,827189844000,304051,7936829450,31814994,2025-01-31
025540,78500,817577500000,18517,1464202000,10415000,2025-01-31
014620,28950,808531435650,511543,15050462450,27928547,2025-01-31
002840,170200,808450000000,990,170747400,4750000,2025-01-31
192400,22700,807261599500,4435,100336750,35562185,2025-01-31
121600,65800,802501932400,49617,3283734100,12196078,2025-01-31
023590,17820,799523114940,19453,348138230,44866617,2025-01-31
298050,176100,788918842800,12080,2144267700,4479948,2025-01-31
323280,30300,784489119000,692824,21908343300,25890730,2025-01-31
005420,20200,775846205600,1230162,24289734260,38408228,2025-01-31
003530,3610,774517467750,793566,2867525835,214547775,2025-01-31
003570,23250,773125205250,87342,2036841600,33252697,2025-01-31
120110,28050,771910502550,53330,1488985250,27519091,2025-01-31
145720,69600,770390568000,59963,4207875200,11068830,2025-01-31
000670,418000,769972720000,7834,3276687500,1842040,2025-01-31
004800,45700,765036599900,6936,318108150,16740407,2025-01-31
005440,4885,761592510385,108920,534199470,155904301,2025-01-31
281740,11560,759845134880,156327,1810637650,65730548,2025-01-31
101730,9160,759690242560,84785,769940130,82935616,2025-01-31
008730,30600,758880000000,162640,5104358150,24800000,2025-01-31
082270,18870,754690063380,227625,4272314760,39994174,2025-01-31
051980,7450,750371472350,1181359,8886094490,100721003,2025-01-31
082640,4635,747897041475,127000,583251915,161358585,2025-01-31
012630,12490,746174095290,106652,1323036720,59741721,2025-01-31
214320,18470,738800000000,78723,1451376630,40000000,2025-01-31
114090,11890,735463916300,83432,989530510,61855670,2025-01-31
003620,3740,734551909960,158318,593998865,196404254,2025-01-31
030190,12270,730145896110,99431,1235243960,59506593,2025-01-31
036830,34750,728500946000,42942,1501624900,20964056,2025-01-31
002710,27650,724808722050,99106,2746931900,26213697,2025-01-31
005180,73400,723081089400,170060,12329445700,9851241,2025-01-31
017960,13880,720489313760,427399,5982429260,51908452,2025-01-31
100090,12150,719226151200,207081,2522419370,59195568,2025-01-31
285130,41400,714306616200,18439,767979750,17253783,2025-01-31
053030,21850,714149507800,6115401,130295820210,32684188,2025-01-31
161580,31250,714068125000,1861122,57540523600,22850180,2025-01-31
336370,10050,705684307200,314532,3122180310,70217344,2025-01-31
317330,34300,702346831200,135384,4614768900,20476584,2025-01-31
003240,629000,700328600000,351,220932000,1113400,2025-01-31
440110,14180,699954237680,172326,2466594740,49362076,2025-01-31
293940,5770,697824509710,126798,733869800,120940123,2025-01-31
066575,40500,696032676000,14042,566908600,17185992,2025-01-31
058610,31300,694151368000,3418172,104495169000,22177360,2025-01-31
069260,16950,692892066600,45859,772851820,40878588,2025-01-31
001430,19280,691421654320,47270,918204450,35862119,2025-01-31
005250,14630,688022712300,63078,920407750,47028210,2025-01-31
213420,27650,686582099350,116800,3257836900,24831179,2025-01-31
056190,19050,684061878000,44719,855077410,35908760,2025-01-31
067310,10250,679287477250,1455258,15079275590,66271949,2025-01-31
083650,21950,679229031250,2853675,63075394400,30944375,2025-01-31
268280,135000,675000000000,821,111092700,5000000,2025-01-31
086450,15130,672679800000,67336,1023737900,44460000,2025-01-31
460930,18940,670329612740,759509,14535486340,35392271,2025-01-31
000210,31950,669540493800,48992,1561496300,20955884,2025-01-31
006120,35000,657504925000,8107,285980450,18785855,2025-01-31
052020,9600,652639593600,251017,2467489060,67983291,2025-01-31
009410,2215,650890200515,18466,40883010,293855621,2025-01-31
001680,18740,649303988500,131330,2449924950,34648025,2025-01-31
241590,10670,646487574920,260795,2792263830,60589276,2025-01-31
085660,11400,641984650200,268788,3048717080,56314443,2025-01-31
381970,13320,641785212360,38965,522820270,48182073,2025-01-31
