ticker,entry_signal_date,comparison_class
005880,2017-03-17,SHARED_ENTRY
005930,2015-03-27,SHARED_ENTRY
005930,2016-06-17,FASTCORE_ONLY_REENTRY
005930,2019-11-01,SHARED_REENTRY
005930,2020-11-13,FASTCORE_ONLY_REENTRY
005930,2023-06-02,SHARED_REENTRY
005930,2025-08-29,FASTCORE_ONLY_REENTRY
005940,2014-08-29,SHARED_ENTRY
005940,2017-02-10,FASTCORE_ONLY_REENTRY
005940,2019-04-05,SHARED_REENTRY
005940,2020-12-04,FASTCORE_ONLY_REENTRY
005940,2024-02-23,FASTCORE_ONLY_REENTRY
005950,2020-11-13,SHARED_ENTRY
005950,2022-08-19,FASTCORE_ONLY_REENTRY
005990,2015-05-08,SHARED_ENTRY
005990,2016-03-18,FASTCORE_ONLY_REENTRY
005990,2017-02-03,FASTCORE_ONLY_REENTRY
006040,2014-02-28,SHARED_ENTRY
006040,2016-05-13,FASTCORE_ONLY_REENTRY
006040,2019-05-10,FASTCORE_ONLY_REENTRY
006040,2021-01-15,FASTCORE_ONLY_REENTRY
006040,2022-04-01,FASTCORE_ONLY_REENTRY
006040,2022-12-02,FASTCORE_ONLY_REENTRY
006040,2025-01-03,FASTCORE_ONLY_REENTRY
006060,2019-04-05,SHARED_ENTRY
006060,2020-02-07,FASTCORE_ONLY_REENTRY
006120,2013-12-13,SHARED_ENTRY
006120,2023-09-01,SHARED_REENTRY
006120,2025-04-25,FASTCORE_ONLY_REENTRY
006260,2014-01-10,SHARED_ENTRY
006260,2018-05-18,FASTCORE_ONLY_REENTRY
006260,2020-12-18,FASTCORE_ONLY_REENTRY
006260,2025-05-16,SHARED_REENTRY
006280,2014-10-31,SHARED_ENTRY
006280,2017-06-30,SHARED_REENTRY
006280,2020-07-31,FASTCORE_ONLY_REENTRY
006280,2024-10-18,SHARED_REENTRY
006280,2025-12-12,FASTCORE_ONLY_REENTRY
006360,2016-05-13,SHARED_ENTRY
006360,2017-03-10,FASTCORE_ONLY_REENTRY
006360,2018-04-20,FASTCORE_ONLY_REENTRY
006360,2021-01-08,SHARED_REENTRY
006360,2026-02-13,SHARED_REENTRY
006360,2026-03-13,FASTCORE_ONLY_REENTRY
006400,2013-07-19,SHARED_ENTRY
006400,2017-02-10,FASTCORE_ONLY_REENTRY
006400,2019-11-01,SHARED_REENTRY
006400,2020-06-26,FASTCORE_ONLY_REENTRY
006400,2022-10-28,SHARED_REENTRY
006650,2013-11-29,SHARED_ENTRY
006650,2018-01-26,SHARED_REENTRY
006650,2021-01-15,FASTCORE_ONLY_REENTRY
006730,2014-08-22,SHARED_ENTRY
006730,2015-04-17,FASTCORE_ONLY_REENTRY
006730,2016-04-08,SHARED_REENTRY
006730,2019-04-19,FASTCORE_ONLY_REENTRY
006730,2021-01-08,FASTCORE_ONLY_REENTRY
006800,2014-08-29,SHARED_ENTRY
006800,2015-03-27,FASTCORE_ONLY_REENTRY
006840,2013-05-10,SHARED_ENTRY
006840,2017-06-30,SHARED_REENTRY
006840,2018-01-26,FASTCORE_ONLY_REENTRY
007070,2015-02-06,SHARED_ENTRY
007070,2017-02-03,SHARED_REENTRY
007070,2018-06-29,FASTCORE_ONLY_REENTRY
007070,2021-03-26,FASTCORE_ONLY_REENTRY
007070,2025-11-14,FASTCORE_ONLY_REENTRY
007070,2026-08-07,FASTCORE_ONLY_REENTRY
007160,2016-08-12,SHARED_ENTRY
007160,2016-09-30,FASTCORE_ONLY_REENTRY
007160,2024-11-01,SHARED_REENTRY
007310,2018-06-01,SHARED_ENTRY
007310,2024-05-31,FASTCORE_ONLY_REENTRY
007340,2015-03-27,SHARED_ENTRY
007340,2021-03-12,FASTCORE_ONLY_REENTRY
007340,2023-04-07,SHARED_REENTRY
007390,2017-08-04,SHARED_ENTRY
007570,2013-03-08,SHARED_ENTRY
007570,2015-03-20,FASTCORE_ONLY_REENTRY
007660,2015-05-22,SHARED_ENTRY
007660,2025-06-13,SHARED_REENTRY
007690,2014-01-03,SHARED_ENTRY
007690,2015-04-03,FASTCORE_ONLY_REENTRY
007690,2017-08-04,SHARED_REENTRY
007690,2021-01-08,FASTCORE_ONLY_REENTRY
007690,2025-07-18,SHARED_REENTRY
007690,2026-04-17,FASTCORE_ONLY_REENTRY
007700,2017-02-03,SHARED_ENTRY
007700,2021-01-22,SHARED_REENTRY
007810,2017-01-20,SHARED_ENTRY
007810,2025-10-10,SHARED_REENTRY
