ticker,name,market,official_stage,candidate_state,pattern_a_score,market_cap_eok,avg_trading_value_20d_eok,investability_status,investability_reason,requested_as_of,effective_as_of,cache_present,cache_last_date,row_status
460470,아이빔테크놀로지,KOSDAQ,,insufficient_data,,461.14,0.7,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (461.1억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
460870,에스엠씨지,KOSDAQ,,insufficient_data,,590.16,4.58,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (590.2억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
460930,현대힘스,KOSDAQ,,insufficient_data,,5539.66,222.93,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
460940,피앤에스로보틱스,KOSDAQ,,insufficient_data,,777.72,21.52,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (777.7억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
461030,아이엠비디엑스,KOSDAQ,,insufficient_data,,486.66,0.7,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (486.7억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
461300,아이스크림미디어,KOSDAQ,,insufficient_data,,2426.78,5.39,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
462310,뉴키즈온,KOSDAQ,,insufficient_data,,305.28,0.67,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (305.3억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
462350,이노스페이스,KOSDAQ,,insufficient_data,,2957.86,15.95,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
462510,라메디텍,KOSDAQ,,insufficient_data,,260.57,0.85,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (260.6억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
462860,더즌,KOSDAQ,,insufficient_data,,1463.83,3.56,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
462980,아이지넷,KOSDAQ,,insufficient_data,,268.96,0.38,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (269.0억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
463020,뉴엔AI,KOSDAQ,,insufficient_data,,901.42,202.51,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (901.4억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
463480,모티브링크,KOSDAQ,,insufficient_data,,537.12,0.74,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (537.1억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
464080,에스오에스랩,KOSDAQ,,insufficient_data,,1789.32,9.2,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
464280,티디에스팜,KOSDAQ,,insufficient_data,,321.85,1.5,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (321.9억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
464490,쿼드메디슨,KOSDAQ,,insufficient_data,,669.41,2.19,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (669.4억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
464500,아이언디바이스,KOSDAQ,,insufficient_data,,277.07,0.72,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (277.1억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
464580,닷밀,KOSDAQ,,insufficient_data,,337.75,0.74,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (337.8억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
465480,인스피언,KOSDAQ,,insufficient_data,,347.73,0.53,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (347.7억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
466100,클로봇,KOSDAQ,,insufficient_data,,8325.17,183.85,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
466410,사이냅소프트,KOSDAQ,,insufficient_data,,451.82,0.78,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (451.8억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
468530,프로티나,KOSDAQ,,insufficient_data,,4149.24,24.35,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
