window,layer,comparison,extreme_contrast,feature,feature_kind,level,feature_role,n_group_rows,n_reference_rows,group_n,reference_n,group_median,reference_median,group_share_pct,reference_share_pct,auc,effect,effect_unit,profile_allowed,broad_pooled_effect,broad_pooled_grade,same_sign_as_broad
P2-1,ELIGIBLE,WIN_100_vs_LOSS_50,True,pattern_a_score,numeric,,ENTRY,11,0,10,0,68.7102,,,,,,AUC-0.5,False,0.0941,CONSISTENT,
P2-1,ELIGIBLE,WIN_100_vs_LOSS_50,True,fast_score,numeric,,ENTRY,11,0,11,0,77.74,,,,,,AUC-0.5,False,-0.0283,WEAK,
P2-1,ELIGIBLE,WIN_100_vs_LOSS_50,True,market_cap_eok,numeric,,ENTRY,11,0,11,0,38362.1672,,,,,,AUC-0.5,False,-0.0529,MIXED,
P2-1,ELIGIBLE,WIN_100_vs_LOSS_50,True,avg_trading_value_20d_eok,numeric,,ENTRY,11,0,10,0,303.725,,,,,,AUC-0.5,False,-0.135,MIXED,
P2-1,ELIGIBLE,WIN_100_vs_LOSS_50,True,wma52_slope_1w,numeric,,ENTRY,11,0,10,0,0.0023,,,,,,AUC-0.5,False,-0.1789,CONSISTENT,
P2-1,ELIGIBLE,WIN_100_vs_LOSS_50,True,atr_14_pct,numeric,,ENTRY,11,0,10,0,0.0366,,,,,,AUC-0.5,False,-0.1509,CONSISTENT,
P2-1,ELIGIBLE,WIN_100_vs_LOSS_50,True,range_position_24m,numeric,,ENTRY,11,0,10,0,0.6757,,,,,,AUC-0.5,False,-0.0566,MIXED,
P2-1,ELIGIBLE,WIN_100_vs_LOSS_50,True,wma12_vs_wma26_pct,numeric,,ENTRY,11,0,10,0,0.0434,,,,,,AUC-0.5,False,-0.0621,CONSISTENT,
P2-1,ELIGIBLE,WIN_100_vs_LOSS_50,True,close_vs_wma200_pct,numeric,,ENTRY,11,0,9,0,0.1798,,,,,,AUC-0.5,False,-0.0189,INSUFFICIENT_EVIDENCE,
P2-1,ELIGIBLE,WIN_100_vs_LOSS_50,True,post_breakout_min_low_vs_level_pct_26w,numeric,,ENTRY,11,0,4,0,-0.1729,,,,,,AUC-0.5,False,0.0505,INSUFFICIENT_EVIDENCE,
P2-1,ELIGIBLE,WIN_100_vs_LOSS_50,True,market,categorical,KOSDAQ,ENTRY,11,0,11,0,,,9.0909,,,,share_pp,False,-9.9464,CONSISTENT,
P2-1,ELIGIBLE,WIN_100_vs_LOSS_50,True,entry_pattern_a_stage,categorical,EARLY_TREND,ENTRY,11,0,11,0,,,18.1818,,,,share_pp,False,5.5266,MIXED,
