ticker,isu_cd,entry_signal_date,entry_execution_date,name,market,representative_window,observed_windows,n_windows_observed,same_cutoff_return_spread,trade_id,pair_id,trade_status,exit_type,terminal_return,enrichment_status
011280,KR7011280005,2020-11-13,2020-11-16,11280,KOSPI,P1,P1,1,0.0,011280_06,011280|KR7011280005|KOSPI|2010-01-04|2026-09-01|011280_06,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-17.02,READY
033240,KR7033240003,2020-11-13,2020-11-16,33240,KOSPI,P1,P1,1,0.0,033240_06,033240|KR7033240003|KOSPI|2010-01-04|2026-09-01|033240_06,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,9.18,READY
105560,KR7105560007,2020-11-13,2020-11-16,105560,KOSPI,P1,P1,1,0.0,105560_04,105560|KR7105560007|KOSPI|2010-01-04|2026-09-01|105560_04,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,114.87,READY
272550,KR7272550005,2020-11-13,2020-11-16,272550,KOSPI,P1,P1,1,0.0,272550_01,272550|KR7272550005|KOSPI|2017-11-29|2026-09-01|272550_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,46.34,READY
000640,KR7000640003,2020-11-20,2020-11-23,640,KOSPI,P1,P1,1,0.0,000640_02,000640|KR7000640003|KOSPI|2010-01-04|2026-09-01|000640_02,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-16.73,READY
002680,KR7002680007,2020-11-20,2020-11-23,2680,KOSDAQ,P1,P1,1,0.0,002680_01,002680|KR7002680007|KOSDAQ|2010-01-04|2026-09-01|002680_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-15.44,READY
004270,KR7004270005,2020-11-20,2020-11-23,4270,KOSPI,P1,P1,1,0.0,004270_02,004270|KR7004270005|KOSPI|2010-01-04|2026-09-01|004270_02,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-21.77,READY
024910,KR7024910002,2020-11-20,2020-11-23,24910,KOSDAQ,P1,P1,1,0.0,024910_01,024910|KR7024910002|KOSDAQ|2010-01-04|2026-09-01|024910_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,60.46,READY
025540,KR7025540006,2020-11-20,2020-11-23,25540,KOSPI,P1,P1,1,0.0,025540_04,025540|KR7025540006|KOSPI|2010-01-04|2026-09-01|025540_04,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,27.88,READY
029780,KR7029780004,2020-11-20,2020-11-23,29780,KOSPI,P1,P1,1,0.0,029780_05,029780|KR7029780004|KOSPI|2010-01-04|2026-09-01|029780_05,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-15.85,READY
045100,KR7045100005,2020-11-20,2020-11-23,45100,KOSDAQ,P1,P1,1,0.0,045100_04,045100|KR7045100005|KOSDAQ|2010-01-04|2026-09-01|045100_04,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,143.33,READY
047560,KR7047560008,2020-11-20,2020-11-23,47560,KOSDAQ,P1,P1,1,0.0,047560_03,047560|KR7047560008|KOSDAQ|2010-01-04|2026-09-01|047560_03,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,63.03,READY
068930,KR7068930007,2020-11-20,2020-11-23,68930,KOSDAQ,P1,P1,1,0.0,068930_02,068930|KR7068930007|KOSDAQ|2010-01-04|2026-09-01|068930_02,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-13.98,READY
084010,KR7084010008,2020-11-20,2020-11-23,84010,KOSPI,P1,P1,1,0.0,084010_04,084010|KR7084010008|KOSPI|2010-01-04|2026-09-01|084010_04,REALIZED,EXIT3_PROGRESSED_TO_TRANSITION,67.45,READY
096870,KR7096870001,2020-11-20,2020-11-23,96870,KOSDAQ,P1,P1,1,0.0,096870_02,096870|KR7096870001|KOSDAQ|2010-01-04|2026-09-01|096870_02,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-15.02,READY
112040,KR7112040001,2020-11-20,2020-11-23,112040,KOSDAQ,P1,P1,1,0.0,112040_03,112040|KR7112040001|KOSDAQ|2010-01-04|2026-09-01|112040_03,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-18.0,READY
241590,KR7241590009,2020-11-20,2020-11-23,241590,KOSPI,P1,P1,1,0.0,241590_02,241590|KR7241590009|KOSPI|2016-10-04|2026-09-01|241590_02,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-17.15,READY
249420,KR7249420001,2020-11-20,2020-11-23,249420,KOSPI,P1,P1,1,0.0,249420_01,249420|KR7249420001|KOSPI|2016-08-31|2026-09-01|249420_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-15.65,READY
002200,KR7002200004,2020-11-27,2020-11-30,2200,KOSPI,P1,P1,1,0.0,002200_04,002200|KR7002200004|KOSPI|2010-01-04|2026-09-01|002200_04,OPEN_AT_CUTOFF,NO_EXIT_BEFORE_CUTOFF,21.4,READY
003850,KR7003850005,2020-11-27,2020-11-30,3850,KOSPI,P1,P1,1,0.0,003850_06,003850|KR7003850005|KOSPI|2010-01-04|2026-09-01|003850_06,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,35.1,READY
009150,KR7009150004,2020-11-27,2020-11-30,9150,KOSPI,P1,P1,1,0.0,009150_05,009150|KR7009150004|KOSPI|2010-01-04|2026-09-01|009150_05,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,11.29,READY
011230,KR7011230000,2020-11-27,2020-11-30,11230,KOSPI,P1,P1,1,0.0,011230_02,011230|KR7011230000|KOSPI|2010-01-04|2026-09-01|011230_02,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-14.52,READY
019660,KR7019660000,2020-11-27,2020-11-30,19660,KOSDAQ,P1,P1,1,0.0,019660_02,019660|KR7019660000|KOSDAQ|2010-01-04|2026-09-01|019660_02,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-16.8,READY
023440,KR7023440001,2020-11-27,2020-11-30,23440,KOSDAQ,P1,P1,1,0.0,023440_01,023440|KR7023440001|KOSDAQ|2010-01-04|2026-09-01|023440_01,REALIZED,EXIT3_PROGRESSED_TO_WEAK,-21.16,READY
023760,KR7023760002,2020-11-27,2020-11-30,23760,KOSDAQ,P1,P1,1,0.0,023760_03,023760|KR7023760002|KOSDAQ|2010-01-04|2026-09-01|023760_03,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,44.48,READY
023960,KR7023960008,2020-11-27,2020-11-30,23960,KOSPI,P1,P1,1,0.0,023960_01,023960|KR7023960008|KOSPI|2010-01-04|2026-09-01|023960_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,209.19,READY
035890,KR7035890003,2020-11-27,2020-11-30,35890,KOSDAQ,P1,P1,1,0.0,035890_04,035890|KR7035890003|KOSDAQ|2010-01-04|2026-09-01|035890_04,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,61.31,READY
048260,KR7048260004,2020-11-27,2020-11-30,48260,KOSDAQ,P1,P1,1,0.0,048260_03,048260|KR7048260004|KOSDAQ|2010-01-04|2023-08-11|048260_03,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,67.24,READY
049550,KR7049550007,2020-11-27,2020-11-30,49550,KOSDAQ,P1,P1,1,0.0,049550_01,049550|KR7049550007|KOSDAQ|2010-01-04|2026-09-01|049550_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,105.41,READY
055490,KR7055490007,2020-11-27,2020-11-30,55490,KOSPI,P1,P1,1,0.0,055490_01,055490|KR7055490007|KOSPI|2017-10-31|2026-09-01|055490_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,5.49,READY
069510,KR7069510006,2020-11-27,2020-11-30,69510,KOSDAQ,P1,P1,1,0.0,069510_03,069510|KR7069510006|KOSDAQ|2010-01-04|2026-09-01|069510_03,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-15.0,READY
075180,KR7075180000,2020-11-27,2020-11-30,75180,KOSPI,P1,P1,1,0.0,075180_01,075180|KR7075180000|KOSPI|2010-01-04|2026-09-01|075180_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2.88,READY
104830,KR7104830005,2020-11-27,2020-11-30,104830,KOSDAQ,P1,P1,1,0.0,104830_05,104830|KR7104830005|KOSDAQ|2011-12-28|2026-09-01|104830_05,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,63.03,READY
108670,KR7108670001,2020-11-27,2020-11-30,108670,KOSPI,P1,P1,1,0.0,108670_01,108670|KR7108670001|KOSPI|2010-01-04|2026-09-01|108670_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,25.54,READY
154040,KR7154040000,2020-11-27,2020-11-30,154040,KOSDAQ,P1,P1,1,0.0,154040_01,154040|KR7154040000|KOSDAQ|2013-12-27|2026-09-01|154040_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-16.49,READY
217270,KR7217270008,2020-11-27,2020-11-30,217270,KOSDAQ,P1,P1,1,0.0,217270_01,217270|KR7217270008|KOSDAQ|2016-12-14|2026-09-01|217270_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,69.68,READY
241520,KR7241520006,2020-11-27,2020-11-30,241520,KOSDAQ,P1,P1,1,0.0,241520_01,241520|KR7241520006|KOSDAQ|2016-12-19|2026-09-01|241520_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,84.7,READY
000480,KR7000480004,2020-12-04,2020-12-07,480,KOSPI,P1,P1,1,0.0,000480_03,000480|KR7000480004|KOSPI|2010-01-04|2026-09-01|000480_03,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-15.6,READY
