ticker,isu_cd,identity_effective_from,entry_signal_date,ledger_entry_pattern_a_stage,ledger_fast_score,enrichment_status,enrichment_error,reconstructed_pattern_a_stage,pattern_a_score,pattern_a_evaluation_status,reconstructed_fast_score,fast_weekly_core_score,fast_conditional_status,reconstructed_fast_machine_stage,range_position_24m,monthly_down_month_ratio_12m,distance_to_prior_26w_high_pct,close_vs_wma200_pct,higher_weekly_low_count_13w,wma52_slope_1w,wma12_vs_wma26_pct,weeks_since_26w_close_breakout,post_breakout_min_low_vs_level_pct_26w,recent_5d_max_gap_abs_pct,atr_14_pct,market_cap_eok,avg_trading_value_20d_eok,avg_trading_value_60d_eok,investability_status,stage_match,fast_score_match
178920,KR7178920005,2021-08-09,2026-04-17,TRANSITION,75.49,READY,,TRANSITION,45.1404,READY,75.49,82.75,EVENT_OBSERVED,TRIGGER,0.380597,0.333333,-0.077061,0.025384,9.0,0.010774,0.125072,4.0,-0.071594,0.063008,0.047712,7561.83,81.28,74.96,INVESTABLE,True,True
179900,KR7179900006,2017-09-27,2021-02-05,TRANSITION,69.07,READY,,TRANSITION,75.1225,READY,69.07,76.79,EVENT_OBSERVED,TRIGGER,0.421992,0.666667,-0.058511,,8.0,-0.000321,0.100543,6.0,-0.182857,0.012158,0.052462,2868.62,29.82,32.35,INVESTABLE,True,True
179900,KR7179900006,2017-09-27,2022-01-07,TRANSITION,77.99,READY,,TRANSITION,24.9667,READY,77.99,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.627955,0.583333,0.006116,0.191564,8.0,0.001264,0.019404,0.0,,0.022801,0.057534,2666.03,20.86,12.89,INVESTABLE,True,True
179900,KR7179900006,2017-09-27,2022-05-13,TRANSITION,74.49,READY,,TRANSITION,62.7392,READY,74.49,77.75,EVENT_NOT_OBSERVED,TRIGGER,0.42723,0.583333,0.04491,0.207694,7.0,-0.000687,-0.004426,0.0,,0.016077,0.056693,2828.1,12.02,8.06,INVESTABLE,True,True
179900,KR7179900006,2017-09-27,2022-07-22,TRANSITION,74.49,READY,,TRANSITION,57.8845,READY,74.49,77.75,EVENT_NOT_OBSERVED,TRIGGER,0.587379,0.5,0.111406,0.393097,5.0,0.009387,0.12877,0.0,,0.008357,0.033924,3412.1,10.97,13.56,INVESTABLE,True,True
180400,KR7180400004,2015-11-20,2026-03-20,TRANSITION,74.17,READY,,TRANSITION,28.6,READY,74.17,82.75,EVENT_OBSERVED,TRIGGER,0.831277,0.416667,-0.067235,0.36987,9.0,0.023215,0.382958,5.0,-0.128386,0.018931,0.070486,4847.65,13.08,21.71,INVESTABLE,True,True
180640,KR7180640005,2013-09-16,2017-06-30,TRANSITION,80.07,READY,,TRANSITION,18.9834,READY,80.07,81.79,EVENT_OBSERVED,TRIGGER,0.762414,0.333333,-0.023941,,10.0,0.01059,0.173982,1.0,-0.018797,0.01107,0.033288,15680.17,138.7,109.98,INVESTABLE,True,True
180640,KR7180640005,2013-09-16,2018-04-27,TRANSITION,74.49,READY,,TRANSITION,82.6038,READY,74.49,77.75,EVENT_NOT_OBSERVED,TRIGGER,0.511719,0.5,0.044025,0.119459,5.0,0.004187,0.047786,0.0,,0.010893,0.044464,14733.44,173.04,103.72,INVESTABLE,True,True
180640,KR7180640005,2013-09-16,2019-01-18,EARLY_TREND,80.99,READY,,EARLY_TREND,100.0,READY,80.99,82.75,EVENT_OBSERVED,TRIGGER,0.811024,0.5,-0.062874,0.46764,9.0,0.009167,0.207696,9.0,0.07113,0.013223,0.043473,18520.35,377.48,411.54,INVESTABLE,True,True
180640,KR7180640005,2013-09-16,2023-11-24,TRANSITION,71.69,READY,,TRANSITION,12.7927,READY,71.69,73.75,EVENT_NOT_OBSERVED,TRIGGER,0.264706,0.416667,0.011321,-0.07599,6.0,0.006093,-0.011319,0.0,,0.018904,0.034848,35784.58,34.13,43.85,INVESTABLE,True,True
181340,KR7181340001,2017-07-26,2021-02-19,EARLY_TREND,76.0,READY,,EARLY_TREND,73.3382,READY,76.0,81.79,EVENT_NOT_OBSERVED,TRIGGER,0.752468,0.416667,0.027815,,11.0,0.048424,0.417373,0.0,,0.018316,0.083043,1186.55,55.76,59.86,INVESTABLE,True,True
181340,KR7181340001,2017-07-26,2021-04-23,EARLY_TREND,80.07,READY,,EARLY_TREND,45.8326,READY,80.07,81.79,EVENT_OBSERVED,TRIGGER,0.837047,0.25,-0.032073,,10.0,0.055125,0.556708,5.0,-0.066007,0.019912,0.060474,1715.88,30.09,44.68,INVESTABLE,True,True
181710,KR7181710005,2013-08-29,2016-07-29,TRANSITION,81.38,READY,,TRANSITION,46.4134,READY,81.38,81.79,EVENT_OBSERVED,TRIGGER,0.450134,0.25,-0.050413,,7.0,0.003035,0.083509,1.0,-0.077024,0.007639,0.029807,12893.35,88.01,79.53,INVESTABLE,True,True
181710,KR7181710005,2013-08-29,2017-04-21,TRANSITION,80.88,READY,,TRANSITION,32.1625,READY,80.88,81.79,EVENT_NOT_OBSERVED,TRIGGER,0.446716,0.25,0.032406,,8.0,0.00184,0.097839,0.0,,0.006624,0.0231,12462.92,33.9,43.73,INVESTABLE,True,True
181710,KR7181710005,2013-08-29,2019-02-15,TRANSITION,73.29,READY,,TRANSITION,86.4008,READY,73.29,79.25,EVENT_NOT_OBSERVED,TRIGGER,0.395975,0.666667,0.038866,0.17548,7.0,-0.000865,0.045673,0.0,,0.009317,0.046396,14125.95,85.93,48.73,INVESTABLE,True,True
181710,KR7181710005,2013-08-29,2020-01-10,TRANSITION,74.49,READY,,TRANSITION,58.253,READY,74.49,77.75,EVENT_NOT_OBSERVED,TRIGGER,0.495123,0.5,0.01635,0.154306,5.0,0.004031,0.03039,0.0,,0.026098,0.031307,14595.51,49.17,40.58,INVESTABLE,True,True
