ticker,name,market,signal_reference_date,execution_candidate_date,pattern_a_stage,market_cap,avg_trading_value_20d,investability_status,market_cap_source_file,market_cap_sha256
014940,오리엔탈정공,KOSDAQ,2024-11-29,2024-12-02,TRANSITION,,16602885918.0,DATA_UNAVAILABLE,,
014940,오리엔탈정공,KOSDAQ,2025-01-10,2025-01-13,EARLY_TREND,,10366754540.5,DATA_UNAVAILABLE,,
014940,오리엔탈정공,KOSDAQ,2025-01-17,2025-01-20,EARLY_TREND,,11805332207.25,DATA_UNAVAILABLE,,
014940,오리엔탈정공,KOSDAQ,2025-01-24,2025-01-31,EARLY_TREND,,11479285090.25,DATA_UNAVAILABLE,,
015750,성우하이텍,KOSDAQ,2025-12-12,2025-12-15,TRANSITION,,6932154377.55,DATA_UNAVAILABLE,,
015750,성우하이텍,KOSDAQ,2026-01-16,2026-01-19,TRANSITION,,8040115008.75,DATA_UNAVAILABLE,,
015750,성우하이텍,KOSDAQ,2026-02-20,2026-02-23,TRANSITION,,9486218637.75,DATA_UNAVAILABLE,,
015750,성우하이텍,KOSDAQ,2026-02-27,2026-03-03,TRANSITION,,9632254950.25,DATA_UNAVAILABLE,,
016250,SGC E&C,KOSDAQ,2026-02-20,2026-02-23,TRANSITION,,346360966.25,DATA_UNAVAILABLE,,
016250,SGC E&C,KOSDAQ,2026-02-27,2026-03-03,TRANSITION,,606871583.75,DATA_UNAVAILABLE,,
017650,대림제지,KOSDAQ,2025-07-18,2025-07-21,TRANSITION,,120944263.75,DATA_UNAVAILABLE,,
017650,대림제지,KOSDAQ,2026-01-02,2026-01-05,TRANSITION,,354888695.75,DATA_UNAVAILABLE,,
017650,대림제지,KOSDAQ,2026-01-09,2026-01-12,TRANSITION,,349135844.75,DATA_UNAVAILABLE,,
017650,대림제지,KOSDAQ,2026-01-16,2026-01-19,TRANSITION,,163577936.25,DATA_UNAVAILABLE,,
017650,대림제지,KOSDAQ,2026-02-27,2026-03-03,EARLY_TREND,,777941965.25,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2025-07-04,2025-07-07,TRANSITION,,813395765.5,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2025-07-11,2025-07-14,TRANSITION,,679958801.25,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2025-07-18,2025-07-21,TRANSITION,,662368524.75,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2025-07-25,2025-07-28,TRANSITION,,595551511.25,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2025-11-28,2025-12-01,TRANSITION,,861251046.5,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2025-12-05,2025-12-08,TRANSITION,,840010122.0,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2025-12-12,2025-12-15,TRANSITION,,625843958.5,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2025-12-19,2025-12-22,TRANSITION,,549051163.75,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2025-12-26,2025-12-29,TRANSITION,,682829537.25,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2026-01-02,2026-01-05,TRANSITION,,620278193.5,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2026-01-09,2026-01-12,TRANSITION,,633351332.25,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2026-01-30,2026-02-02,TRANSITION,,668366304.0,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2026-02-06,2026-02-09,TRANSITION,,853533074.25,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2026-02-13,2026-02-19,TRANSITION,,1616082260.0,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2026-02-20,2026-02-23,TRANSITION,,1774824283.75,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2026-04-10,2026-04-13,TRANSITION,,3046194239.75,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2026-04-17,2026-04-20,TRANSITION,,3212770982.75,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2026-04-24,2026-04-27,TRANSITION,,3769078223.0,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2026-07-03,2026-07-06,TRANSITION,,983220883.5,DATA_UNAVAILABLE,,
017890,한국알콜,KOSDAQ,2026-07-10,2026-07-13,TRANSITION,,838148841.25,DATA_UNAVAILABLE,,
018120,진로발효,KOSDAQ,2024-10-04,2024-10-07,TRANSITION,,38424522.5,DATA_UNAVAILABLE,,
018120,진로발효,KOSDAQ,2024-10-11,2024-10-14,TRANSITION,,28378828.5,DATA_UNAVAILABLE,,
018120,진로발효,KOSDAQ,2024-10-18,2024-10-21,TRANSITION,,40016435.5,DATA_UNAVAILABLE,,
018120,진로발효,KOSDAQ,2024-10-25,2024-10-28,TRANSITION,,37610887.0,DATA_UNAVAILABLE,,
018120,진로발효,KOSDAQ,2024-11-01,2024-11-04,TRANSITION,,38449979.0,DATA_UNAVAILABLE,,
018120,진로발효,KOSDAQ,2024-11-08,2024-11-11,TRANSITION,,49156497.0,DATA_UNAVAILABLE,,
018120,진로발효,KOSDAQ,2025-08-29,2025-09-01,TRANSITION,,28305378.75,DATA_UNAVAILABLE,,
018120,진로발효,KOSDAQ,2025-09-05,2025-09-08,TRANSITION,,26722327.0,DATA_UNAVAILABLE,,
018120,진로발효,KOSDAQ,2025-09-12,2025-09-15,TRANSITION,,26622542.25,DATA_UNAVAILABLE,,
018120,진로발효,KOSDAQ,2025-09-19,2025-09-22,TRANSITION,,21869153.0,DATA_UNAVAILABLE,,
018120,진로발효,KOSDAQ,2025-09-26,2025-09-29,TRANSITION,,24893073.5,DATA_UNAVAILABLE,,
018310,삼목에스폼,KOSDAQ,2024-09-27,2024-09-30,TRANSITION,386610000000.0,1095030944.5,INVESTABLE,artifacts/investability/history/source/krx_market_cap_20240927.csv,d3af764c0090af1ce642f0afaa8eb48f13197e1559ebef98adb438d4af9fa2c2
018310,삼목에스폼,KOSDAQ,2025-06-13,2025-06-16,TRANSITION,,560049205.0,DATA_UNAVAILABLE,,
