ticker,first_common_date,last_common_date,lifecycle_interval_count,current_expected_count,candidate_expected_count,baseline_expected_count,raw_observed_count,silent_missing_count,current_nontradable_count,candidate_confirmed_nontrading_count,potential_false_nontradable_count,added_back_date_count,inside_common_lifecycle,added_back_dates_sha256
0015G0,2025-11-17,2026-08-21,1,187,187,187,187,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0015N0,2025-11-27,2026-08-21,1,179,179,179,179,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0015S0,2025-12-10,2026-08-21,1,170,170,170,170,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001600,2010-01-04,2010-04-14,1,61,61,71,71,0,10,10,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001620,2010-01-04,2026-08-21,1,4081,4081,4095,4095,0,14,14,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001630,2010-01-04,2026-08-21,1,4069,4069,4095,4095,0,26,26,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001680,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001720,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001740,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001750,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001770,2010-01-04,2026-08-21,1,4040,4040,4095,4095,0,55,55,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001780,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001790,2010-01-04,2026-08-21,1,4080,4080,4095,4095,0,15,15,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0017J0,2026-06-10,2026-08-21,1,51,51,51,51,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001800,2010-01-04,2026-08-21,1,4068,4068,4095,4095,0,27,27,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001810,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001820,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001840,2010-01-04,2026-08-21,1,3755,3755,4095,4095,0,340,340,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001880,2010-01-04,2024-02-29,1,3468,3468,3494,3494,0,26,26,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001940,2010-01-04,2026-08-21,1,4062,4062,4095,4095,0,33,33,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
002000,2010-01-04,2018-12-12,1,2168,2169,2209,2209,0,41,40,1,1,True,219c746b4884f85f3b20faa26b995dcf6f5afe20cf374b1bd5ed41fa903494e8
002020,2010-01-04,2026-08-21,1,4075,4075,4095,4095,0,20,20,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
002030,2010-01-04,2026-08-21,1,4069,4069,4095,4095,0,26,26,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
002070,2010-01-04,2026-08-21,1,4023,4023,4095,4095,0,72,72,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
002100,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
