ticker,date,naver_open,naver_high,naver_low,naver_close,naver_volume,raw_open,raw_high,raw_low,raw_close,raw_volume,raw_trading_value,raw_activity_class,confirmed_nontrading,source_action
002420,2013-11-21,5062.0,5062.0,5062.0,5064.0,0.0,0,0,0,26450,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
001940,2013-11-22,7996.0,7996.0,7996.0,7997.0,0.0,0,0,0,39900,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-11-22,5062.0,5062.0,5062.0,5064.0,0.0,0,0,0,26450,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-11-28,5359.0,5359.0,5359.0,5361.0,0.0,0,0,0,28000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
001940,2013-12-04,7916.0,7916.0,7916.0,7917.0,0.0,0,0,0,39500,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
001770,2013-12-12,10278.0,10278.0,10278.0,10279.0,0.0,0,0,0,11550,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2014-01-02,5312.0,5312.0,5312.0,5313.0,0.0,0,0,0,27750,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2014-01-03,5312.0,5312.0,5312.0,5313.0,0.0,0,0,0,27750,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2014-01-10,5388.0,5388.0,5388.0,5390.0,0.0,0,0,0,28150,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2014-01-20,5398.0,5398.0,5398.0,5399.0,0.0,0,0,0,28200,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2014-02-03,5417.0,5417.0,5417.0,5418.0,0.0,0,0,0,28300,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2014-02-04,5417.0,5417.0,5417.0,5418.0,0.0,0,0,0,28300,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2014-02-14,5340.0,5340.0,5340.0,5342.0,0.0,0,0,0,27900,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2014-03-28,5331.0,5331.0,5331.0,5332.0,0.0,0,0,0,27850,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
