date,cash,invested_market_value,equity,position_count,cash_ratio,invested_ratio,high_water_mark,drawdown_pct
2023-06-27,324.0,182179166.0,182179490.0,46,1.7784658415719574e-06,0.9999982215341584,202469047.0,-10.02106608423954
2023-06-28,324.0,182546954.0,182547278.0,46,1.77488266902561e-06,0.9999982251173309,202469047.0,-9.839414614323738
2023-06-29,324.0,180938174.0,180938498.0,46,1.7906636983357737e-06,0.9999982093363017,202469047.0,-10.633995328678559
2023-06-30,324.0,181920285.0,181920609.0,46,1.780996676412841e-06,0.9999982190033236,202469047.0,-10.148928097636578
2023-07-03,324.0,186364870.0,186365194.0,46,1.7385220547137143e-06,0.9999982614779452,202469047.0,-7.953735762879354
2023-07-04,324.0,187306187.0,187306511.0,46,1.7297850366771286e-06,0.9999982702149633,202469047.0,-7.488816796771902
2023-07-05,324.0,186424365.0,186424689.0,46,1.7379672281497006e-06,0.9999982620327719,202469047.0,-7.924351024381515
2023-07-06,324.0,181990275.0,181990599.0,46,1.7803117401685127e-06,0.9999982196882599,202469047.0,-10.114359850767707
2023-07-07,324.0,181153031.0,181153355.0,46,1.7885398810306328e-06,0.999998211460119,202469047.0,-10.527876885793807
2023-07-10,324.0,181343658.0,181343982.0,46,1.786659785600164e-06,0.9999982133402144,202469047.0,-10.433725704255426
2023-07-11,324.0,183306109.0,183306433.0,46,1.7675320756473396e-06,0.9999982324679243,202469047.0,-9.464465943774602
2023-07-12,324.0,183921419.0,183921743.0,46,1.761618798925802e-06,0.999998238381201,202469047.0,-9.160562700727281
2023-07-13,324.0,186306583.0,186306907.0,46,1.739065959588927e-06,0.9999982609340404,202469047.0,-7.98252386696916
2023-07-14,324.0,187379461.0,187379785.0,46,1.7291086122230314e-06,0.9999982708913878,202469047.0,-7.452626573581888
2023-07-17,324.0,186466384.0,186466708.0,46,1.7375755890965801e-06,0.9999982624244109,202469047.0,-7.903597728693812
2023-07-18,324.0,186465255.0,186465579.0,46,1.7375861096594132e-06,0.9999982624138903,202469047.0,-7.904155344792041
2023-07-19,324.0,186891026.0,186891350.0,46,1.7336275862954598e-06,0.9999982663724137,202469047.0,-7.6938659171937545
2023-07-20,324.0,188447768.0,188448092.0,46,1.719306343520846e-06,0.9999982806936565,202469047.0,-6.9249869092335885
2023-07-21,324.0,187400575.0,187400899.0,46,1.7289137977934673e-06,0.9999982710862022,202469047.0,-7.44219831291052
2023-07-24,324.0,183399449.0,183399773.0,46,1.7666325028657478e-06,0.9999982333674972,202469047.0,-9.418365069896339
2023-07-25,324.0,180626683.0,180627007.0,46,1.7937516951714756e-06,0.9999982062483048,202469047.0,-10.78784156078929
2023-07-26,324.0,174598422.0,174598746.0,46,1.8556834308535067e-06,0.9999981443165692,202469047.0,-13.765215677633924
2023-07-27,324.0,178854798.0,178855122.0,46,1.8115220653283835e-06,0.9999981884779346,202469047.0,-11.66298026779372
2023-07-28,324.0,182416266.0,182416590.0,46,1.7761542412343088e-06,0.9999982238457588,202469047.0,-9.903961764585178
2023-07-31,324.0,184092710.0,184093034.0,46,1.7599796850542427e-06,0.9999982400203149,202469047.0,-9.075961620938532
2023-08-01,324.0,184794311.0,184794635.0,46,1.7532976539064568e-06,0.999998246702346,202469047.0,-8.729439023832619
2023-08-02,324.0,181094051.0,181094375.0,46,1.789122384392116e-06,0.9999982108776156,202469047.0,-10.557007264423978
2023-08-03,324.0,181826014.0,181826338.0,46,1.781920064847811e-06,0.9999982180799352,202469047.0,-10.195488794887254
2023-08-04,324.0,182281406.0,182281730.0,46,1.7774683178615872e-06,0.9999982225316821,202469047.0,-9.970569476725988
2023-08-07,1970.0,182626421.0,182628391.0,49,1.0786931808428406e-05,0.9999892130681916,202469047.0,-9.79935268821609
2023-08-08,1970.0,180757155.0,180759125.0,49,1.0898481611924156e-05,0.999989101518388,202469047.0,-10.722588129730271
2023-08-09,1970.0,183048007.0,183049977.0,49,1.0762088213755963e-05,0.9999892379117863,202469047.0,-9.591130243231694
2023-08-10,1970.0,183006828.0,183008798.0,49,1.0764509802419444e-05,0.9999892354901976,202469047.0,-9.61146866068866
2023-08-11,1970.0,184155915.0,184157885.0,49,1.0697342663334779e-05,0.9999893026573367,202469047.0,-9.043931539817052
2023-08-14,1970.0,182770175.0,182772145.0,49,1.077844766772311e-05,0.9999892215523323,202469047.0,-9.72835220585594
2023-08-16,1970.0,180323893.0,180325863.0,49,1.0924666973588808e-05,0.9999890753330264,202469047.0,-10.936577382122014
2023-08-17,1970.0,180286730.0,180288700.0,49,1.092691888066196e-05,0.9999890730811193,202469047.0,-10.954932286513896
2023-08-18,1970.0,179616845.0,179618815.0,49,1.0967670619584035e-05,0.9999890323293804,202469047.0,-11.285790266993256
2023-08-21,1970.0,179814685.0,179816655.0,49,1.0955603639718468e-05,0.9999890443963603,202469047.0,-11.18807656559968
2023-08-22,1970.0,179982183.0,179984153.0,49,1.0945408066009012e-05,0.999989054591934,202469047.0,-11.105348858583797
2023-08-23,1970.0,180457246.0,180459216.0,49,1.0916594029755732e-05,0.9999890834059703,202469047.0,-10.870713981283275
2023-08-24,1970.0,183535600.0,183537570.0,49,1.073349723438095e-05,0.9999892665027657,202469047.0,-9.35030676565589
2023-08-25,1970.0,181651727.0,181653697.0,49,1.0844810937153677e-05,0.9999891551890628,202469047.0,-10.280756643261135
2023-08-28,1970.0,183167345.0,183169315.0,49,1.0755076525781625e-05,0.9999892449234742,202469047.0,-9.53218888811187
2023-08-29,1970.0,185292967.0,185294937.0,49,1.063169901938551e-05,0.9999893683009806,202469047.0,-8.482338537406164
2023-08-30,1970.0,185737857.0,185739827.0,49,1.0606233632380847e-05,0.9999893937663676,202469047.0,-8.26260618493453
2023-08-31,1970.0,187064798.0,187066768.0,49,1.0530999284704592e-05,0.9999894690007153,202469047.0,-7.607226501145137
2023-09-01,1970.0,185738927.0,185740897.0,49,1.0606172532912878e-05,0.9999893938274671,202469047.0,-8.262077709092985
2023-09-04,1970.0,184687534.0,184689504.0,49,1.0666550926467376e-05,0.9999893334490735,202469047.0,-8.781363503923634
