ticker,candidate_rank,rcept_no,report_nm,rcept_dt,event_match_score,selection_status,rejection_reason
028260,32,20150909000045,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,33,20150909000042,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,34,20150909000039,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,35,20150909000029,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,36,20150909000024,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,37,20150909000021,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,38,20150909000017,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,39,20150909000009,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,40,20150908000245,임원ㆍ주요주주특정증권등소유상황보고서,20150908,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,41,20150908000208,임원ㆍ주요주주특정증권등소유상황보고서,20150908,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,42,20150908000153,임원ㆍ주요주주특정증권등소유상황보고서,20150908,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,43,20150908000148,임원ㆍ주요주주특정증권등소유상황보고서,20150908,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,44,20150908000130,임원ㆍ주요주주특정증권등소유상황보고서,20150908,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,45,20150908000106,임원ㆍ주요주주특정증권등소유상황보고서,20150908,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
