ticker,name,raw_market,market,close,volume,trading_value,market_cap,shares_outstanding,effective_date
037370,EG,KOSDAQ,KOSDAQ,8100,28727,232613470,69862273200,8624972,2024-06-28
278990,EMB,KONEX,KONEX,9400,118,1109200,45134861400,4801581,2024-06-28
365550,ESR켄달스퀘어리츠,KOSPI,KOSPI,4615,135612,624718970,983405735000,213089000,2024-06-28
050120,ES큐브,KOSDAQ,KOSDAQ,2260,9338,20910840,30654834360,13564086,2024-06-28
383220,F&F,KOSPI,KOSPI,62400,61998,3847392200,2390361480000,38307075,2024-06-28
007700,F&F홀딩스,KOSPI,KOSPI,14990,8044,120628450,586324361330,39114367,2024-06-28
214270,FSN,KOSDAQ,KOSDAQ,1865,47056,87191101,62012113495,33250463,2024-06-28
130500,GH신소재,KOSDAQ,KOSDAQ,2715,45426,123787430,39489816180,14545052,2024-06-28
114090,GKL,KOSPI,KOSPI,12730,61277,778498040,787422679100,61855670,2024-06-28
900290,GRT,KOSDAQ,KOSDAQ,3455,105578,369079765,232780625000,67375000,2024-06-28
078930,GS,KOSPI,KOSPI,46900,441610,20730592200,4357731228200,92915378,2024-06-28
083450,GST,KOSDAQ,KOSDAQ,20900,199986,4206410100,194740870500,9317745,2024-06-28
006360,GS건설,KOSPI,KOSPI,15030,221039,3307478690,1286289794700,85581490,2024-06-28
001250,GS글로벌,KOSPI,KOSPI,4040,2883555,11765290485,333436406560,82533764,2024-06-28
007070,GS리테일,KOSPI,KOSPI,20850,127109,2644579050,2183368673700,104717922,2024-06-28
078935,GS우,KOSPI,KOSPI,38050,24010,915144100,67912629300,1784826,2024-06-28
297890,HB솔루션,KOSDAQ,KOSDAQ,10040,2096517,21272709670,734067752720,73114318,2024-06-28
440290,HB인베스트먼트,KOSDAQ,KOSDAQ,2435,40072,97379200,66005569350,27107010,2024-06-28
078150,HB테크놀러지,KOSDAQ,KOSDAQ,3635,5837540,21376972400,337022354660,92715916,2024-06-28
012630,HDC,KOSPI,KOSPI,8070,41975,340924900,482115688470,59741721,2024-06-28
039570,HDC랩스,KOSPI,KOSPI,8740,8361,72560350,226869432740,25957601,2024-06-28
089470,HDC현대EP,KOSPI,KOSPI,4270,20985,89019465,136213000000,31900000,2024-06-28
294870,HDC현대산업개발,KOSPI,KOSPI,18200,249066,4508624200,1199513406000,65907330,2024-06-28
009540,HD한국조선해양,KOSPI,KOSPI,158800,287465,45447149000,11238770820800,70773116,2024-06-28
267250,HD현대,KOSPI,KOSPI,74500,225242,16690669200,5884984832500,78993085,2024-06-28
267270,HD현대건설기계,KOSPI,KOSPI,55000,76681,4188793000,1036590280000,18847096,2024-06-28
443060,HD현대마린솔루션,KOSPI,KOSPI,130000,77781,10121169600,5778500000000,44450000,2024-06-28
010620,HD현대미포,KOSPI,KOSPI,93000,280933,26164477900,3714619857000,39942149,2024-06-28
322000,HD현대에너지솔루션,KOSPI,KOSPI,26550,86921,2318067000,297360000000,11200000,2024-06-28
042670,HD현대인프라코어,KOSPI,KOSPI,7640,939934,7173693600,1524970380920,199603453,2024-06-28
267260,HD현대일렉트릭,KOSPI,KOSPI,310000,326539,102305400500,11174611850000,36047135,2024-06-28
329180,HD현대중공업,KOSPI,KOSPI,155700,205119,31936689900,13821974161200,88773116,2024-06-28
097230,HJ중공업,KOSPI,KOSPI,3585,157309,554649925,298538297385,83274281,2024-06-28
195940,HK이노엔,KOSDAQ GLOBAL,KOSDAQ,37500,199016,7470101500,1062370912500,28329891,2024-06-28
014790,HL D&I,KOSPI,KOSPI,2295,74942,171316840,86885489295,37858601,2024-06-28
028300,HLB,KOSDAQ,KOSDAQ,58500,3770235,229998793500,7654453794000,130845364,2024-06-28
003580,HLB글로벌,KOSPI,KOSPI,4215,265836,1144057915,199836909780,47410892,2024-06-28
278650,HLB바이오스텝,KOSDAQ,KOSDAQ,2285,530599,1221575755,198179395865,86730589,2024-06-28
343090,HLB사이언스,KONEX,KONEX,1985,11615,22802813,32634207895,16440407,2024-06-28
067630,HLB생명과학,KOSDAQ,KOSDAQ,8220,857820,7198146900,884975384580,107661239,2024-06-28
024850,HLB이노베이션,KOSDAQ,KOSDAQ,2810,253234,718241090,203382334550,72378055,2024-06-28
047920,HLB제약,KOSDAQ,KOSDAQ,17810,557143,10237824200,566001693140,31779994,2024-06-28
115450,HLB테라퓨틱스,KOSDAQ,KOSDAQ,7020,1256921,9178074810,556328948760,79249138,2024-06-28
