case_type,rank,ticker,name,market,isu_cd,control_trade_id,control_trade_sequence,identity_effective_from,identity_effective_to,entry_signal_date,entry_execution_date,entry_open,v2_exit_category,v2_terminal_return,v2_mfe,v2_mae,v2_holding_days,v2_giveback,v3_exit_reason,v3_terminal_return,v3_strategy_path_mfe,v3_strategy_path_mae,v3_holding_days,v3_giveback,full_path_raw_mfe,full_path_mfe_cohort,return_delta_v3_minus_v2
WINNER_ACTIVATION_LARGEST_GIVEBACK,8,058610,에스피지,KOSDAQ,KR7058610007,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_058610_KR7058610007_KOSDAQ_02,2,2010-01-04,2026-08-21,2025-10-24,2025-10-27,31550.0,EXIT4,375.44,425.2,-7.45,68,49.76,HARD_EXIT,209.98,425.2,-7.45,151,215.22,425.198098,WINNER_CAPABLE_GE_20,-165.46
WINNER_ACTIVATION_LARGEST_GIVEBACK,9,298040,효성중공업,KOSPI,KR7298040007,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_298040_KR7298040007_KOSPI_03,3,2018-07-13,2026-08-21,2023-06-09,2023-06-12,95100.0,EXIT4,108.52,118.72,-5.68,59,10.2,HARD_EXIT,183.39,393.17,-5.68,284,209.78,4886.330179,WINNER_CAPABLE_GE_20,74.87
WINNER_ACTIVATION_LARGEST_GIVEBACK,10,004360,세방,KOSPI,KR7004360004,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_004360_KR7004360004_KOSPI_01,1,2010-01-04,2026-08-21,2022-10-07,2022-10-11,15650.0,EXIT3,-6.01,238.02,-9.84,161,244.03,HARD_EXIT,35.14,238.02,-5.11,137,202.88,238.019169,WINNER_CAPABLE_GE_20,41.15
V3_SOFT_EXIT,1,243840,신흥에스이씨,KOSDAQ,KR7243840006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_243840_KR7243840006_KOSDAQ_01,1,2017-09-27,2026-08-21,2024-03-15,2024-03-18,10820.0,LOSS_GUARD,-14.7,20.7,-16.45,31,35.4,SOFT_EXIT,-3.42,20.7,-3.7,18,24.12,20.702403,WINNER_CAPABLE_GE_20,11.28
V3_SOFT_EXIT,2,403870,HPSP,KOSDAQ,KR7403870009,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_403870_KR7403870009_KOSDAQ_02,2,2022-07-15,2026-08-21,2026-02-27,2026-03-03,43750.0,EXIT4,25.49,110.29,-13.26,83,84.8,SOFT_EXIT,-2.4,23.2,-13.26,20,25.6,110.285714,WINNER_CAPABLE_GE_20,-27.89
V3_SOFT_EXIT,3,220100,퓨쳐켐,KOSDAQ,KR7220100002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_220100_KR7220100002_KOSDAQ_02,2,2016-12-01,2026-08-21,2023-10-06,2023-10-10,13852.0,LOSS_GUARD,-19.64,8.53,-22.29,6,28.17,SOFT_EXIT,-1.89,20.68,-46.27,169,22.57,144.93214,WINNER_CAPABLE_GE_20,17.75
V3_SOFT_EXIT,4,032640,LG유플러스,KOSPI,KR7032640005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_032640_KR7032640005_KOSPI_01,1,2010-01-04,2026-08-21,2021-05-14,2021-05-17,14750.0,LOSS_GUARD,-15.59,9.83,-16.61,283,25.42,SOFT_EXIT,-1.63,21.97,-35.53,1177,23.6,27.457627,WINNER_CAPABLE_GE_20,13.96
V3_SOFT_EXIT,5,074600,원익QnC,KOSDAQ,KR7074600008,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_074600_KR7074600008_KOSDAQ_05,5,2010-01-04,2026-08-21,2026-02-06,2026-02-09,30600.0,EXIT3,-20.59,48.37,-34.64,117,68.96,SOFT_EXIT,-1.63,20.92,-14.05,32,22.55,48.366013,WINNER_CAPABLE_GE_20,18.96
V3_SOFT_EXIT,6,126720,수산인더스트리,KOSPI,KR7126720002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_126720_KR7126720002_KOSPI_01,1,2022-08-01,2026-08-21,2026-01-23,2026-01-26,26100.0,LOSS_GUARD,-16.48,39.46,-16.48,99,55.94,SOFT_EXIT,-1.34,21.07,-12.45,42,22.41,39.463602,WINNER_CAPABLE_GE_20,15.14
V3_SOFT_EXIT,7,093050,LF,KOSPI,KR7093050003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_093050_KR7093050003_KOSPI_01,1,2010-01-04,2026-08-21,2021-06-04,2021-06-07,20250.0,LOSS_GUARD,-14.07,11.6,-18.52,52,25.67,SOFT_EXIT,-1.28,20.25,-38.81,1163,21.53,30.617284,WINNER_CAPABLE_GE_20,12.79
V3_SOFT_EXIT,8,161890,한국콜마,KOSPI,KR7161890009,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_161890_KR7161890009_KOSPI_02,2,2012-10-19,2026-08-21,2026-04-17,2026-04-20,87100.0,OPEN_AT_CUTOFF,56.95,65.33,-12.63,84,8.38,SOFT_EXIT,-1.15,21.93,-4.59,28,23.08,65.32721,WINNER_CAPABLE_GE_20,-58.1
